gap_ticker,ticker,name,category,isdelisted,exchange,location,currency,permaticker,cusips,siccode,sicsector,sicindustry,famaindustry,sector,industry,relatedtickers,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,lastupdated,secfilings,companysite,table,figi,scalemarketcap,scalerevenue
OPTX1,OPTX1,NETOPTIX CORP,Domestic Common Stock,Y,NASDAQ,Massachusetts; U.S.A,USD,121230,363544107 64116F103,3827,Manufacturing,Optical Instruments & Lenses,Measuring and Control Equipment,Technology,Scientific & Technical Instruments,OPTX,2018-01-04,1986-01-01,2000-05-12,1995-12-31,1999-12-31,2023-11-12,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000711425,,SF1,,3 - Small,1 - Nano
OPTX1,OPTX1,NETOPTIX CORP,Domestic Common Stock,Y,NASDAQ,Massachusetts; U.S.A,USD,121230,363544107 64116F103,3827,Manufacturing,Optical Instruments & Lenses,Measuring and Control Equipment,Technology,Scientific & Technical Instruments,OPTX,2018-01-04,1986-01-01,2000-05-12,1995-12-31,1999-12-31,2023-11-12,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000711425,,SEP,,3 - Small,1 - Nano
FRFHF,FAIRFA,FAIRFAX FINANCIAL HOLDINGS LTD,Institutional Investor,,,Ontario; Canada,USD,121278,,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,,,,,2013-06-30,2026-03-31,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000915191,,SF3B,BBG000GTW565,,
FRFHF,FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD,Canadian Common Stock,Y,NYSE,Ontario; Canada,USD,121278,303901102,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,FFH,2018-01-02,2002-12-19,2019-12-13,2001-12-31,2018-12-31,2024-02-17,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000915191,,SF1,BBG000GTW565,5 - Large,5 - Large
FRFHF,FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD,Canadian Common Stock,Y,NYSE,Ontario; Canada,USD,121278,303901102,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,FFH,2018-01-02,2002-12-19,2019-12-13,2001-12-31,2018-12-31,2024-02-17,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000915191,,SEP,BBG000GTW565,5 - Large,5 - Large
VSTR1,VSTR1,VOICESTREAM WIRELESS CORP,Domestic Common Stock,Y,NASDAQ,Washington; U.S.A,USD,121440,928615103,4812,Transportation Communications Electric Gas And Sanitary Service,Radiotelephone Communications,Communication,Communication Services,Telecom Services,VSTR,2017-12-06,1999-05-03,2001-05-30,1997-12-31,2001-03-31,2019-04-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001097609,,SF1,,5 - Large,4 - Mid
VSTR1,VSTR1,VOICESTREAM WIRELESS CORP,Domestic Common Stock,Y,NASDAQ,Washington; U.S.A,USD,121440,928615103,4812,Transportation Communications Electric Gas And Sanitary Service,Radiotelephone Communications,Communication,Communication Services,Telecom Services,VSTR,2017-12-06,1999-05-03,2001-05-30,1997-12-31,2001-03-31,2018-06-13,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001097609,,SEP,,5 - Large,4 - Mid
VSTR1,VSTR1,VOICESTREAM WIRELESS CORP,Domestic Common Stock,Y,NASDAQ,Washington; U.S.A,USD,121440,928615103,4812,Transportation Communications Electric Gas And Sanitary Service,Radiotelephone Communications,Communication,Communication Services,Telecom Services,VSTR,2017-12-06,1999-05-03,2001-05-30,1997-12-31,2001-03-31,2018-02-16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001097609,,SF2,,5 - Large,4 - Mid
,FFH1,FARM FAMILY HOLDINGS INC,Domestic Common Stock,Y,NYSE,New York; U.S.A,USD,121506,307901108,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,FFH,2017-12-04,1996-07-23,2001-04-10,1996-12-31,2000-12-31,2020-07-15,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001013564,,SF1,,2 - Micro,3 - Small
,FFH1,FARM FAMILY HOLDINGS INC,Domestic Common Stock,Y,NYSE,New York; U.S.A,USD,121506,307901108,6331,Finance Insurance And Real Estate,Fire Marine & Casualty Insurance,Insurance,Financial Services,Insurance - Property & Casualty,FFH,2017-12-04,1996-07-23,2001-04-10,1996-12-31,2000-12-31,2020-07-15,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001013564,,SEP,,2 - Micro,3 - Small
,TRV1,THOUSAND TRAILS INC,Domestic Common Stock,Y,NYSEMKT,Texas; U.S.A,USD,122430,885502104,7000,Services,Hotels Rooming Houses Camps & Other Lodging Places,Restaraunts Hotels Motels,Consumer Cyclical,Lodging,TRV,2017-10-10,1998-12-04,2003-07-22,1995-06-30,2003-03-31,2019-07-08,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001024124,,SF1,,2 - Micro,2 - Micro
,TRV1,THOUSAND TRAILS INC,Domestic Common Stock,Y,NYSEMKT,Texas; U.S.A,USD,122430,885502104,7000,Services,Hotels Rooming Houses Camps & Other Lodging Places,Restaraunts Hotels Motels,Consumer Cyclical,Lodging,TRV,2017-10-10,1998-12-04,2003-07-22,1995-06-30,2003-03-31,2020-07-21,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001024124,,SEP,,2 - Micro,2 - Micro
LFCHY,LFCHY,CHINA LIFE INSURANCE CO LTD,ADR Common Stock,Y,NYSE,China,CNY,166504,16939P106,6311,Finance Insurance And Real Estate,Life Insurance,Insurance,Financial Services,Insurance - Life,LFC,2016-01-19,2003-12-17,2022-09-01,2000-12-31,2022-12-31,2023-04-21,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001268896,,SF1,BBG00KVDWLW5,5 - Large,5 - Large
LFCHY,LFCHY,CHINA LIFE INSURANCE CO LTD,ADR Common Stock,Y,NYSE,China,USD,166504,16939P106,6311,Finance Insurance And Real Estate,Life Insurance,Insurance,Financial Services,Insurance - Life,LFC,2016-01-19,2003-12-17,2022-09-01,2000-12-31,2022-12-31,2022-10-24,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001268896,,SEP,BBG00KVDWLW5,5 - Large,5 - Large
SAP,SAP,SAP SE,ADR Common Stock,N,NYSE,Germany,EUR,166758,803054204,7372,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,,2016-01-04,1995-09-18,2026-08-03,2001-12-31,2026-06-30,2026-07-29,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001000184,http://www.sap.com,SF1,BBG000BDSLD7,6 - Mega,5 - Large
SAP,SAP,SAP SE,ADR Common Stock,N,NYSE,Germany,USD,166758,803054204,7372,Services,Services-Prepackaged Software,Business Services,Technology,Software - Application,,2016-01-04,1995-09-18,2026-08-03,2001-12-31,2026-06-30,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001000184,http://www.sap.com,SEP,BBG000BDSLD7,6 - Mega,5 - Large
PHSYB,PHS,PACIFICARE HEALTH SYSTEMS INC,Domestic Common Stock Primary Class,Y,NYSE,California; U.S.A,USD,177833,695112102 695110106,6324,Finance Insurance And Real Estate,Hospital & Medical Service Plans,Insurance,Healthcare,Healthcare Plans,PHSYB PHSYA PHSY,2015-07-15,1986-01-01,2005-12-20,1996-09-30,2005-09-30,2019-04-17,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001027974,,SF1,,4 - Mid,5 - Large
PHSYB,PHS,PACIFICARE HEALTH SYSTEMS INC,Domestic Common Stock Primary Class,Y,NYSE,California; U.S.A,USD,177833,695112102 695110106,6324,Finance Insurance And Real Estate,Hospital & Medical Service Plans,Insurance,Healthcare,Healthcare Plans,PHSYB PHSYA PHSY,2015-07-15,1986-01-01,2005-12-20,1996-09-30,2005-09-30,2020-07-21,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001027974,,SEP,,4 - Mid,5 - Large
LMLP1,LMLP1,LML PAYMENT SYSTEMS INC,Domestic Common Stock,Y,NASDAQ,British Columbia; Canada,USD,186444,50208P109,7389,Services,Services-Business Services Nec,Business Services,Technology,Software - Application,LMLP,2016-01-15,1986-01-01,2013-01-10,1999-03-31,2012-09-30,2019-07-11,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000781891,,SF1,,3 - Small,2 - Micro
LMLP1,LMLP1,LML PAYMENT SYSTEMS INC,Domestic Common Stock,Y,NASDAQ,British Columbia; Canada,USD,186444,50208P109,7389,Services,Services-Business Services Nec,Business Services,Technology,Software - Application,LMLP,2016-01-15,1986-01-01,2013-01-10,1999-03-31,2012-09-30,2020-07-21,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000781891,,SEP,,3 - Small,2 - Micro
