date,nav,shadow_nav,shadow_dd,regular_systemic,emergency,allocation,damaged_breadth,green_breadth,r5,r10,r20,db5
2018-05-03,34.13725492991044,30.16627841891933,-0.0289315470061335,False,False,1.0,0.36,0.44,0.006430156974672752,0.005093652291649153,0.03791705960148262,-0.09833333333333333
2018-05-04,34.44539423772262,30.438573779819325,-0.020166215360161,False,False,1.0,0.36,0.48,0.01715151926789371,0.018608349112014366,0.0658901811204371,-0.09833333333333333
2018-05-07,34.894123017603064,30.83510470581933,-0.007401675182956,False,False,1.0,0.36,0.6,0.03183521800119826,0.04442422895860898,0.06983615620409589,-0.09833333333333333
2018-05-08,34.91709607670791,30.855405450519328,-0.0067481834768632,False,False,1.0,0.4,0.56,0.02548627942390791,0.04608937853017725,0.0468661167188984,-0.016666666666666663
2018-05-09,35.19263262919214,31.09889053371932,0.0,False,False,1.0,0.36,0.48,0.033535243598212805,0.06050488757544237,0.053301814299743455,0.0
2018-05-10,35.764018599009944,31.60381069456933,0.0,False,False,1.0,0.32,0.56,0.047653616919096864,0.05439019413097035,0.05952900668486083,-0.03999999999999998
2018-05-11,35.27159045166437,31.16866367924433,-0.0137688147651057,False,False,1.0,0.36,0.56,0.023985680298498346,0.04154859042418546,0.056361989226001885,0.0
2018-05-14,35.4879375500569,31.35984445281953,-0.007719519779041,False,False,1.0,0.375,0.5833333333333334,0.01701760872896174,0.04939458601390556,0.06003436813626828,0.015000000000000013
2018-05-15,35.23440109187778,31.13580032851952,-0.0148086688207579,False,False,1.0,0.3333333333333333,0.5833333333333334,0.009087382709970893,0.034805265708857114,0.0360638316877655,-0.06666666666666671
2018-05-16,35.270334141861646,31.167553508219523,-0.0138039425234491,False,False,1.0,0.375,0.625,0.0022078914495600177,0.035817177225372365,0.030226386050859366,0.015000000000000013
2018-05-17,35.26021692647689,31.158613166157828,-0.0140868306266623,False,False,1.0,0.375,0.5833333333333334,-0.014086830626662494,0.03289549786214718,0.03815670838186702,0.05499999999999999
2018-05-18,35.15443209475235,31.065133632057822,-0.0170446870384547,False,False,1.0,0.375,0.5,-0.0033216068629675632,0.020584402435238403,0.03957579329402994,0.015000000000000013
2018-05-21,35.52016054990865,31.38831914965782,-0.0068185304295768,False,False,1.0,0.2916666666666667,0.5,0.0009079986631033155,0.017941059358040246,0.0631623060453308,-0.08333333333333331
2018-05-22,35.35725972652526,31.244367575257822,-0.0113734107188937,False,False,1.0,0.2916666666666667,0.5833333333333334,0.003486894365739346,0.01260596381928103,0.059276343387662855,-0.04166666666666663
2018-05-23,35.748589836404676,31.590176664845323,-0.0004314046130629,False,False,1.0,0.3333333333333333,0.625,0.013559715442995834,0.015797545272340896,0.07725826154845405,-0.041666666666666685
2018-05-24,35.888774160619704,31.71405421044532,0.0,False,False,1.0,0.2916666666666667,0.625,0.017826244105458855,0.003488298197373174,0.05806822154448543,-0.08333333333333331
2018-05-25,35.74552305411901,31.58746662244533,-0.0039915296593742,False,False,1.0,0.25,0.625,0.016814123401950543,0.01343666663129639,0.05554353161401182,-0.125
2018-05-29,35.48556631615446,31.35774904994533,-0.0112349294144374,False,False,1.0,0.375,0.5416666666666666,-0.0009739323589369464,-6.681802511343538e-05,0.049324467540103445,0.08333333333333331
2018-05-30,35.741815769775776,31.584190583645324,-0.0040948289341458,False,False,1.0,0.2083333333333333,0.625,0.010876296585903944,0.014401115448928747,0.049707615807489614,-0.0833333333333334
2018-05-31,35.53745836487096,31.40360481639533,-0.0097890163140271,False,False,1.0,0.3333333333333333,0.5416666666666666,-0.005906008390817785,0.007573623258994466,0.04366206629087244,0.0
