security_id,ticker,priority,current_truth,vendor_category,cusips,base_disposition,held_sessions,pending_sessions,durable_ranked_sessions,recent_leadership_sessions,eligible_sessions,reason,status
153133684265451089,HEROQ,P1_DURABLE_RANKED,common,Domestic Common Stock,427093109 427093307 427093117,INFERRED_COMMON,0,0,235,109,809,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1137097334490607165,INSG,P1_DURABLE_RANKED,common,Domestic Common Stock,45782B104 45782B302 66987M604 66987M109,INFERRED_COMMON,0,0,233,126,477,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
548321324542581421,BRFS,P1_DURABLE_RANKED,common,ADR Common Stock,10552T107 71361V303,INFERRED_COMMON,0,0,231,264,2109,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
790051607473284035,CHE,P1_DURABLE_RANKED,common,Domestic Common Stock,16359R103 163596109 778787101,INFERRED_COMMON,0,0,231,190,2716,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1101080509353697420,VVUSQ,P1_DURABLE_RANKED,common,Domestic Common Stock,928551100 928551308,INFERRED_COMMON,0,0,230,235,786,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
716118408840229184,ACORQ,P1_DURABLE_RANKED,common,Domestic Common Stock,00484M106 00484M601 00484M700,INFERRED_COMMON,0,0,228,304,857,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
624049122246070482,KEM1,P1_DURABLE_RANKED,common,Domestic Common Stock,488360207 488360108,INFERRED_COMMON,0,0,228,167,564,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
821088485879503592,LCINQ,P1_DURABLE_RANKED,common,Domestic Common Stock,516012101 516012200,INFERRED_COMMON,0,0,225,243,774,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
823234404046056619,XL1,P1_DURABLE_RANKED,common,Domestic Common Stock,G98294104 G98290102 G98255105 G32429105 G3242A102,INFERRED_COMMON,0,0,223,152,3067,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
490553424496543785,BASXQ,P1_DURABLE_RANKED,common,Domestic Common Stock,06985P100 06985P209,INFERRED_COMMON,0,0,222,166,669,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
112676300749674495,HMA1,P1_DURABLE_RANKED,common,Domestic Common Stock,421933102 421922105,INFERRED_COMMON,0,0,213,236,1601,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
405838849220324175,KL,P1_DURABLE_RANKED,common,Canadian Common Stock,49741E100 49740P106,INFERRED_COMMON,0,0,208,148,869,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
195255558794917781,SVNTQ,P1_DURABLE_RANKED,common,Domestic Common Stock,80517Q100 090578105,INFERRED_COMMON,0,0,206,105,452,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
660854745015090064,FSM,P1_DURABLE_RANKED,common,Canadian Common Stock,349915108 349942102,INFERRED_COMMON,0,0,205,142,911,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
482282576872746124,PL1,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,743674103 743674202,INFERRED_COMMON,0,0,201,77,547,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
257995258404860206,ERF,P1_DURABLE_RANKED,common,Canadian Common Stock,292766102 29274D604,INFERRED_COMMON,0,0,200,128,1413,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
300480570843838414,GTI1,P1_DURABLE_RANKED,common,Domestic Common Stock,384313102 90262K109,INFERRED_COMMON,0,0,193,156,924,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
784755978994935882,ANVGQ,P1_DURABLE_RANKED,common,Domestic Common Stock,019344100 448629105,INFERRED_COMMON,0,0,192,176,753,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
470898446993080544,CAM2,P1_DURABLE_RANKED,common,Domestic Common Stock,13342B105 216640102,INFERRED_COMMON,0,0,192,156,2452,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
177752727931112051,LVNTA,P1_DURABLE_RANKED,common,Domestic Common Stock Secondary Class,53071M880 53071M856,INFERRED_COMMON,0,0,189,121,1226,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
247760171879345881,INSYQ,P1_DURABLE_RANKED,common,Domestic Common Stock,45824V209 45824V100,INFERRED_COMMON,0,0,188,127,296,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1089135472417080980,KCG1,P1_DURABLE_RANKED,common,Domestic Common Stock,499005106 499063105 499067106 499068104,INFERRED_COMMON,0,0,188,132,1078,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1129027503593469049,TSEOF,P1_DURABLE_RANKED,common,ADR Common Stock,L9340P101 G9059U107,INFERRED_COMMON,0,0,188,105,879,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
643299980994811152,DSHK,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,262077100 65105M108 65105M603 65105M504,INFERRED_COMMON,0,0,187,78,899,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
765856696925416500,SHLDQ,P1_DURABLE_RANKED,common,Domestic Common Stock Primary Class,812350106 498780105,INFERRED_COMMON,0,0,186,365,2325,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
56251943382633799,HK1,P1_DURABLE_RANKED,common,Domestic Common Stock,716495106 08659A104 08659A302,INFERRED_COMMON,0,0,183,236,1280,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
703395824663586593,DNN,P1_DURABLE_RANKED,common,Canadian Common Stock,248356107 46052H102,INFERRED_COMMON,0,0,182,175,780,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
57411840384698119,UBS,P1_DURABLE_RANKED,common,ADR Common Stock,H42097107 H89231338 H8920M855 H8920G155,INFERRED_COMMON,0,0,176,244,5015,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1144313377406956370,XCOOQ,P1_DURABLE_RANKED,common,Domestic Common Stock,269279402 269279501 269279600,INFERRED_COMMON,0,0,176,258,1567,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
937472210068847237,VRN,P1_DURABLE_RANKED,common,Canadian Common Stock,22576C101 92340V107,INFERRED_COMMON,0,0,174,184,860,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
