Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2010-07-29,BUY,CRUS,,193.0
2010-08-10,SELL,SKX,,58.0
2010-08-11,SELL,CRI,,159.0
2010-08-13,BUY,AZO,,18.0
2010-08-16,BUY,VMW,,48.0
2010-08-18,SELL,EL,,43.0
2010-08-27,SELL,LNCR,,99.0
2010-09-10,BUY,LTMAY,,131.0
2010-09-13,BUY,VRX1,,59.0
2010-09-14,BUY,PWER1,,342.0
2010-09-20,BUY,ISLN,,77.0
2010-10-12,BUY,BHC,,138.0
2010-10-22,SELL,CRUS,,193.0
2010-11-09,SELL,WCRX,,144.0
2010-11-10,BUY,ENDPQ,,115.0
2010-11-23,BUY,LYB,,49.0
2010-12-15,SELL,TSN,,211.0
2010-12-16,SELL,VCI,,109.0
2010-12-16,BUY,FOSL,,61.0
2011-01-18,BUY,ALXN,,55.0
2011-01-19,BUY,ATML,,76.0
2011-03-01,SELL,PWER1,,342.0
2011-03-02,BUY,URI,,95.0
2011-03-03,SELL,LTMAY,,131.0
2011-03-18,SELL,ATML,,76.0
2011-03-31,BUY,SM,,59.0
2011-05-03,SELL,TIVO,,139.0
2011-05-04,BUY,JAZZ,,161.0
2011-05-05,BUY,BASXQ,,55.0
2011-06-08,SELL,URI,,95.0
2011-06-09,BUY,GLNG,,75.0
2011-07-28,SELL,APKT,,132.0
2011-07-29,BUY,VRUS1,,43.0
2011-08-08,SELL,HNT,,139.0
2011-08-08,SELL,BHC,,138.0
2011-08-08,SELL,BASXQ,,55.0
2011-08-09,SELL,FOSL,,61.0
2011-08-09,SELL,LYB,,49.0
2011-08-09,SELL,ADM,,106.0
2011-08-09,SELL,SMG,,94.0
2011-08-22,SELL,ENDPQ,,115.0
2011-08-22,SELL,NFLX,,1.0
2011-08-23,SELL,STRZA,,200.0
2011-08-29,BUY,DPZ,,170.0
2011-09-08,BUY,QCOR,,159.0
2011-09-09,BUY,RGLD,,59.0
2011-09-12,BUY,GOLD1,,43.0
2011-09-13,BUY,GMCR,,43.0
2011-09-14,BUY,MNST,,54.0
2011-09-15,BUY,PSMT,,66.0
2011-09-16,BUY,MCD,,55.0
2011-09-22,BUY,DMND,,34.0
2011-09-29,SELL,DTGF,,84.0
2011-09-30,SELL,BIDU,,90.0
2011-09-30,BUY,ELN,,434.0
2011-10-03,BUY,CBST,,128.0
2011-10-04,SELL,SM,,59.0
2011-10-20,SELL,GMCR,,43.0
2011-10-26,SELL,DMND,,34.0
2011-10-31,BUY,SUG,,113.0
2011-11-01,BUY,GR,,38.0
2011-11-03,BUY,BMRN,,127.0
2012-02-01,BUY,DG,,122.0
2012-02-02,BUY,KMR,,81.0
2012-03-02,SELL,RGLD,,59.0
2012-03-02,BUY,PAA,,65.0
2012-03-08,SELL,PSMT,,66.0
2012-04-05,SELL,GOLD1,,43.0
2012-04-05,SELL,AU,,78.0
2012-04-11,BUY,PIRRQ,,299.0
2012-04-12,BUY,VAL1,,110.0
2012-05-08,BUY,HD,,99.0
2012-05-10,SELL,GLNG,,75.0
2012-05-11,BUY,EC,,39.0
2012-06-04,SELL,DPZ,,170.0
2012-06-05,BUY,SHW,,40.0
2012-07-26,SELL,QCOR,,159.0
2012-08-09,BUY,SBAC,,91.0
2012-08-10,BUY,PCYC,,96.0
2012-08-13,SELL,MNST,,108.0
2012-08-27,BUY,ELLI,,223.0
2012-09-10,BUY,DK,,22.0
2012-10-19,SELL,DLTR,,216.0
2012-10-22,BUY,ONIT,,154.0
2012-11-02,SELL,EC,,39.0
2012-11-08,SELL,PCYC,,96.0
2012-11-09,SELL,ELN,,434.0
2012-11-23,BUY,VMED,,161.0
2012-12-05,BUY,HOV,,1082.0
2012-12-11,BUY,WHR,,35.0
2013-01-30,SELL,VMW,,48.0
2013-01-31,BUY,CVI,,68.0
2013-02-01,SELL,ELLI,,223.0
2013-03-04,BUY,EV1,,131.0
2013-04-18,SELL,ONIT,,154.0
