decision_date,execution_date,ticker,mode,close_price,open_price,intended_target_dollars,cash_before_execution,execution_budget,executed_shares,executed_gross_dollars,entry_fraction_of_intended,cash_limited_at_open,rounding_underfill_dollars,rounding_underfill_fraction,close_required_10bp_cushion,close_cash_above_cushion,blocked,block_reason
2011-09-15,2011-09-16,MCD,whole,88.06999999999998,88.26,4924.68992615503,7884.93815387573,4924.68992615503,55.0,4859.154299999999,0.9866924360441516,False,65.53562615503051,0.013307563955848424,123.11724815387575,7761.820905721854,False,
2011-09-21,2011-09-22,DMND,whole,91.91,88.42,4889.57815415503,3025.7838538757305,3025.7838538757305,34.0,3009.28628,0.6154490602513002,True,16.497573875730723,0.005452330593475459,122.23945385387573,2903.544400021855,False,
2011-09-29,2011-09-30,ELN,whole,10.57,10.46,4551.8412309550295,14113.982473875732,4551.8412309550295,434.0,4544.179639999999,0.9983168149840274,False,7.6615909550300785,0.0016831850159726655,113.79603077387574,4751.144743101855,False,
2011-09-30,2011-10-03,CBST,whole,35.32,34.96,4498.972913355029,9569.802833875732,4498.972913355029,128.0,4479.35488,0.9956394417719667,False,19.618033355029183,0.004360558228033292,112.47432283387573,9457.328511041856,False,
2011-10-28,2011-10-31,SUG,whole,42.33,42.3,4822.745932955029,13583.108323875733,4822.745932955029,113.0,4784.679899999999,0.9921069794087813,False,38.066032955030096,0.00789302059121866,120.56864832387573,13462.539675551858,False,
2011-10-31,2011-11-01,GR,whole,122.63,122.5,4777.06313695503,8798.428423875734,4777.06313695503,38.0,4659.655,0.9754225276934757,False,117.40813695503039,0.024577472306524305,119.42657842387575,8679.001845451858,False,
2011-11-02,2011-11-03,BMRN,whole,32.28,32.41,4772.93573695503,4138.773423875734,4138.773423875734,127.0,4120.186069999999,0.8632393765746649,True,18.58735387573506,0.004491029581012682,119.32339342387574,4019.4500304518583,False,
2012-01-31,2012-02-01,DG,whole,42.61,42.79,5238.841734155029,11900.183353875735,5238.841734155029,122.0,5225.60038,0.9974724653221148,False,13.241354155029512,0.0025275346778852836,130.97104335387573,11769.21231052186,False,
2012-02-01,2012-02-02,KMR,whole,65.252,65.06,5296.252518955029,6674.582973875735,5296.252518955029,81.0,5275.12986,0.9960117726865493,False,21.122658955028783,0.00398822731345075,132.40631297387574,6542.176660901859,False,
2012-03-01,2012-03-02,PAA,whole,84.15999999999998,84.19,5500.07060455503,5592.867863875735,5500.07060455503,65.0,5477.822349999999,0.9959549147357116,False,22.248254555031053,0.004045085264288348,137.50176511387573,1344.231348761859,False,
2012-04-10,2012-04-11,PIRRQ,whole,17.75,17.97,5384.927816155029,15833.424403875735,5384.927816155029,299.0,5378.4030299999995,0.9987883243048393,False,6.5247861550296875,0.0012116756951606727,134.62319540387574,15698.80120847186,False,
2012-04-11,2012-04-12,VAL1,whole,49.03,49.120000000000005,5423.357734955031,10455.021373875736,5423.357734955031,110.0,5408.6032000000005,0.9972794464838759,False,14.754534955030977,0.0027205535161241427,135.58394337387577,10319.43743050186,False,
2012-05-07,2012-05-08,HD,whole,51.39,51.22,5548.49228695503,5126.303173875735,5126.303173875735,99.0,5075.850779999999,0.9148162270917721,True,50.45239387573656,0.009841866968159063,138.71230717387576,4987.590866701859,False,
2012-05-10,2012-05-11,EC,whole,63.63,63.2,5528.273995755028,2512.4878938757365,2512.4878938757365,39.0,2467.2648,0.44629929737464674,True,45.223093875736595,0.017999328070781643,138.20684989387573,2374.281043981861,False,
2012-06-04,2012-06-05,SHW,whole,125.87,125.64,5302.954471755029,5032.001793875737,5032.001793875737,40.0,5030.625599999999,0.948645821267083,True,1.376193875737954,0.00027348835157667636,132.57386179387572,4888.407932081861,False,
2012-08-08,2012-08-09,SBAC,whole,60.05,60.01,5510.715076155029,11193.000903875738,5510.715076155029,91.0,5466.37091,0.9919531012686706,False,44.3441661550296,0.008046898731329381,137.76787690387573,11055.233026971862,False,
2012-08-09,2012-08-10,PCYC,whole,57.16,57.0,5478.242079755029,5726.629993875738,5478.242079755029,96.0,5477.472,0.9998594294038455,False,0.7700797550296556,0.00014057059615446774,136.95605199387575,5589.673941881862,False,
2012-08-24,2012-08-27,ELLI,whole,25.64,24.65,5509.716018500391,6014.754462509755,5509.716018500391,223.0,5502.44695,0.9986806818217157,False,7.269068500391768,0.0013193181782843008,137.74290046250977,5877.011562047245,False,
2012-09-07,2012-09-10,DK,whole,26.2,26.5,5537.38494050039,592.4775125097557,592.4775125097557,22.0,583.583,0.10538963902106181,True,8.894512509755714,0.015012405233876716,138.43462351250975,454.04288899724594,False,
2012-10-19,2012-10-22,ONIT,whole,35.7,35.88,5564.50905250039,8503.787312509758,5564.50905250039,154.0,5531.04552,0.9939862560767417,False,33.4635325003901,0.006013743923258315,139.11272631250975,8364.674586197249,False,
2012-11-21,2012-11-23,VMED,whole,33.72,33.95,5488.0073807267845,14465.618518169607,5488.0073807267845,161.0,5471.4159500000005,0.9969767841812583,False,16.591430726783983,0.0030232158187416206,137.2001845181696,14328.418333651438,False,
2012-12-04,2012-12-05,HOV,whole,5.09,5.1,5523.793462726786,9080.692568169607,5523.793462726786,1082.0,5523.718199999999,0.9999863748115685,False,0.07526272678660462,1.3625188431547845e-05,138.09483656816965,8942.597731601438,False,
2012-12-10,2012-12-11,WHR,whole,99.66,100.10000000000001,5487.003174726784,3556.9743681696073,3556.9743681696073,35.0,3507.0035000000003,0.6391473429709881,True,49.970868169607,0.014048700664469966,137.1750793681696,3419.799288801438,False,
2013-01-30,2013-01-31,CVI,whole,57.33,57.53,5794.485047526785,3937.450188169606,3937.450188169606,68.0,3915.9520399999997,0.6758067382832259,True,21.49814816960634,0.005459916225530751,144.8621261881696,3719.4630619814366,False,
2013-03-01,2013-03-04,EV1,whole,38.19,38.1,5980.335459526785,5020.629488169606,5020.629488169606,131.0,4996.0911,0.8354198746562176,True,24.53838816960615,0.004887512258657475,149.5083864881696,4871.121101681436,False,
2013-04-18,2013-04-19,LUV,whole,12.98,13.020000000000001,5979.462841926783,10616.626548169606,5979.462841926783,458.0,5969.12316,0.9982708008729007,False,10.33968192678276,0.0017291991270993446,149.48657104816957,5332.779477121437,False,
2013-05-17,2013-05-20,OHI,whole,36.91,36.93,6508.910671526784,4856.278788169606,4856.278788169606,131.0,4842.667829999999,0.7440058827637994,True,13.61095816960642,0.0028027546941423774,162.7227667881696,4693.556021381436,False,
2013-05-31,2013-06-03,RDN,whole,12.87,12.91,6426.4502383267845,528.9909581696064,528.9909581696064,40.0,516.9164,0.08043575859611515,True,12.074558169606462,0.022825641881264607,160.66125595816962,368.3297022114368,False,
2013-07-23,2013-07-24,NXST,whole,35.73,35.67,6542.686420726784,12207.888518169606,6542.686420726784,183.0,6534.13761,0.998693379114166,False,8.548810726783813,0.0013066208858339542,163.56716051816957,12044.321357651437,False,
2013-07-24,2013-07-25,CBOE,whole,49.67,49.5,6513.531236326783,5673.750908169606,5673.750908169606,114.0,5648.642999999999,0.8672166901567626,True,25.10790816960707,0.004425275021054294,162.83828090816957,5510.912627261437,False,
2013-08-01,2013-08-02,TW2,whole,86.29999999999998,85.68,6736.275116326783,189.25290816960705,189.25290816960705,2.0,171.53136,0.025463829347506545,True,17.721548169607047,0.09363950251018138,168.40687790816958,20.846030261437477,False,
2013-12-09,2013-12-10,OA,whole,120.75,120.1,7433.111198338065,4954.461958451637,4954.461958451637,41.0,4929.024099999999,0.6631172289070634,True,25.43785845163802,0.005134333185916284,185.82777995845163,4768.634178493185,False,
2014-04-10,2014-04-11,GLOG,whole,24.9,24.13,7660.578454364119,12812.759359103035,7660.578454364119,317.0,7656.85921,0.9995144956237605,False,3.7192443641197315,0.00048550437623949046,191.514461359103,12621.24489774393,False,
2014-05-08,2014-05-09,TRGP,whole,109.32,108.88,7874.956237164121,12734.364929103034,7874.956237164121,72.0,7847.199359999999,0.9964752975980832,False,27.75687716412267,0.003524702401916877,196.87390592910305,12537.49102317393,False,
2014-05-14,2014-05-15,HP,whole,108.6,108.13,7912.7708823403345,4935.415058508377,4935.415058508377,45.0,4870.715849999999,0.615551230084322,True,64.69920850837843,0.01310917273246161,197.81927205850837,4689.346297044527,False,
2014-10-30,2014-10-31,MDVN,whole,102.74,104.37,9021.635139696124,11524.068492403083,9021.635139696124,86.0,8984.79582,0.9959165584591171,False,36.83931969612422,0.0040834415408829185,225.5408784924031,11245.75161391068,False,
