Mode,Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
whole,2007-10-01,BUY,ZNHYY,,60.0
whole,2007-10-30,SELL,CMCSA,,141.0
whole,2007-10-30,BUY,EDO,,84.0
whole,2007-11-02,SELL,CMCSK,,151.5
whole,2007-11-08,SELL,JLL,,46.0
whole,2007-11-08,SELL,TRW,,116.0
whole,2007-11-09,SELL,GRMN,,41.0
whole,2007-11-09,SELL,ZNHYY,,60.0
whole,2007-11-12,SELL,TEX,,80.0
whole,2007-11-13,SELL,TBSIQ,,115.0
whole,2007-11-20,SELL,VNO,,33.0
whole,2007-11-30,BUY,MTL,,49.0
whole,2007-12-05,BUY,TELFY,,43.0
whole,2007-12-11,BUY,IHS2,,65.0
whole,2007-12-12,SELL,NRG,,107.0
whole,2007-12-12,BUY,BIDU,,11.0
whole,2007-12-13,BUY,SIGM,,67.0
whole,2007-12-14,BUY,BMRN,,126.0
whole,2007-12-17,BUY,KUST,,735.0
whole,2007-12-18,BUY,PRGO,,135.0
whole,2007-12-21,BUY,ONXX,,78.0
whole,2008-01-04,SELL,GLBL1,,60.0
whole,2008-01-07,SELL,ATI,,58.0
whole,2008-01-08,SELL,SIGM,,67.0
whole,2008-01-10,SELL,HAS,,146.0
whole,2008-01-15,BUY,CVD,,45.0
whole,2008-01-18,SELL,GEN1,,175.0
whole,2008-01-18,SELL,BFH,,67.0
whole,2008-01-18,SELL,LECO,,65.0
whole,2008-01-18,SELL,MTW,,176.0
whole,2008-01-18,SELL,BIDU,,11.0
whole,2008-02-06,BUY,MEE,,100.0
whole,2008-02-07,SELL,CXW,,160.0
whole,2008-02-07,BUY,ANRZQ,,116.0
whole,2008-02-08,BUY,MOS,,42.0
whole,2008-02-11,BUY,INCY,,339.0
whole,2008-02-12,BUY,AUXL,,121.0
whole,2008-02-13,BUY,GOLD1,,87.0
whole,2008-02-20,SELL,ONXX,,78.0
whole,2008-02-21,BUY,FRFHF,,14.0
whole,2008-02-22,BUY,CMO,,232.0
whole,2008-02-25,BUY,GLDN1,,40.0
whole,2008-02-26,BUY,KGC,,180.0
whole,2008-02-27,BUY,CNX,,47.0
whole,2008-03-07,SELL,CMO,,232.0
whole,2008-03-11,SELL,INCY,,339.0
whole,2008-03-14,BUY,CMP,,66.0
whole,2008-03-24,SELL,AUXL,,121.0
whole,2008-03-24,BUY,WLTGQ,,69.0
whole,2008-04-09,BUY,XEC,,72.0
whole,2008-04-11,BUY,EOG,,4.0
whole,2008-04-30,SELL,KGC,,180.0
whole,2008-04-30,SELL,EPC,,49.0
whole,2008-05-01,BUY,HP,,83.0
whole,2008-05-02,BUY,MMR,,101.0
whole,2008-05-29,SELL,TELFY,,43.0
whole,2008-06-02,BUY,JRCCQ,,100.0
whole,2008-06-04,SELL,IHS2,,65.0
whole,2008-06-05,BUY,UNTCQ,,48.0
whole,2008-06-13,SELL,GOLD1,,87.0
whole,2008-06-30,BUY,EAC1,,42.0
whole,2008-07-07,SELL,BMRN,,126.0
whole,2008-07-07,SELL,MMR,,101.0
whole,2008-07-08,SELL,CVD,,45.0
whole,2008-07-08,BUY,XCOOQ,,137.0
whole,2008-07-09,SELL,JRCCQ,,100.0
whole,2008-07-16,BUY,CPX,,131.0
whole,2008-07-21,SELL,MIR2,,60.0
whole,2008-07-21,SELL,MTL,,147.0
whole,2008-07-21,SELL,CNX,,47.0
whole,2008-07-24,SELL,MEE,,100.0
whole,2008-07-24,SELL,XCOOQ,,137.0
whole,2008-07-30,SELL,EOG,,4.0
whole,2008-08-05,SELL,EAC1,,42.0
whole,2008-08-05,SELL,XEC,,72.0
whole,2008-08-05,SELL,MOS,,42.0
whole,2008-08-05,SELL,KUST,,735.0
whole,2008-08-06,BUY,SPSX,,94.0
whole,2008-08-07,BUY,DRS1,,54.0
whole,2008-08-08,BUY,IPHS,,115.0
whole,2008-08-11,SELL,HP,,83.0
whole,2008-08-12,SELL,FRFHF,,14.0
whole,2008-08-22,BUY,FSYS,,75.0
whole,2008-08-25,BUY,BUD1,,63.0
whole,2008-08-26,BUY,MYGN,,65.0
whole,2008-08-27,BUY,SQNM,,197.0
whole,2008-08-28,BUY,IKN,,255.0
whole,2008-08-29,BUY,WAB,,72.0
whole,2008-09-02,BUY,SYNA,,121.0
whole,2008-09-04,SELL,CMP,,66.0
whole,2008-09-05,SELL,MA,,4.0
whole,2008-09-05,SELL,WLTGQ,,69.0
whole,2008-09-05,BUY,THOR1,,150.0
whole,2008-09-08,SELL,CPX,,131.0
whole,2008-09-08,BUY,OCR,,127.0
whole,2008-09-09,SELL,UNTCQ,,48.0
whole,2008-09-09,BUY,UTHR,,35.0
whole,2008-09-10,SELL,ANRZQ,,116.0
whole,2008-09-10,SELL,CF,,135.0
whole,2008-09-10,BUY,GCO,,104.0
whole,2008-09-11,BUY,PLCE,,91.0
whole,2008-09-12,BUY,VAR,,59.0
whole,2008-09-18,SELL,IPHS,,115.0
whole,2008-09-23,BUY,GAS1,,76.0
whole,2008-09-30,SELL,FSYS,,75.0
whole,2008-10-06,BUY,LDG,,48.0
whole,2008-10-07,BUY,VRX1,,182.0
whole,2008-10-08,SELL,SYNA,,121.0
whole,2008-10-08,SELL,GCO,,104.0
whole,2008-10-08,BUY,UB,,45.0
whole,2008-10-09,SELL,SQNM,,197.0
whole,2008-10-09,BUY,IMCL,,49.0
whole,2008-10-10,SELL,WAB,,72.0
whole,2008-10-13,SELL,VAR,,59.0
whole,2008-10-13,BUY,PB,,95.0
whole,2008-10-14,BUY,BWLD,,83.0
whole,2008-10-15,BUY,FDRY,,198.0
whole,2008-10-16,SELL,PLCE,,91.0
whole,2008-10-20,BUY,ATML,,857.0
whole,2008-10-24,SELL,OCR,,127.0
whole,2008-10-27,SELL,PRGO,,135.0
whole,2008-10-29,SELL,BWLD,,83.0
whole,2008-10-29,SELL,THOR1,,150.0
whole,2008-10-29,SELL,UTHR,,35.0
whole,2008-11-18,BUY,BRL,,49.0
whole,2008-11-26,SELL,ATML,,857.0
whole,2008-12-10,BUY,APOL,,42.0
whole,2008-12-11,BUY,THOR1,,107.0
whole,2008-12-12,BUY,DAL,,328.0
whole,2008-12-15,BUY,AMGN,,54.0
whole,2008-12-16,BUY,ALO1,,89.0
whole,2008-12-17,BUY,LCC,,464.0
whole,2008-12-18,BUY,CBST,,135.0
whole,2008-12-19,BUY,CRI,,159.0
whole,2008-12-24,SELL,GAS1,,76.0
whole,2009-01-13,SELL,PB,,95.0
whole,2009-01-21,BUY,ALK,,111.0
whole,2009-01-22,BUY,JBLU,,497.0
whole,2009-01-23,BUY,IDCC,,104.0
whole,2009-01-26,BUY,SMG,,94.0
whole,2009-01-27,BUY,MNST,,92.0
whole,2009-01-28,SELL,DAL,,328.0
whole,2009-01-28,BUY,RGLD,,66.0
whole,2009-01-29,BUY,FRFHF,,9.0
whole,2009-01-30,SELL,LCC,,464.0
whole,2009-01-30,BUY,ORLY,,102.0
whole,2009-02-02,BUY,DLTR,,72.0
whole,2009-02-03,BUY,AVAV,,82.0
whole,2009-02-04,BUY,ATHN1,,84.0
whole,2009-02-05,BUY,GMCR,,77.0
whole,2009-02-09,BUY,FNF,,165.0
whole,2009-02-13,BUY,ESINQ,,25.0
whole,2009-02-17,BUY,WTRG,,154.0
whole,2009-02-19,SELL,CBST,,135.0
whole,2009-02-20,SELL,JBLU,,497.0
whole,2009-02-20,BUY,MBOT,,1443.0
whole,2009-03-02,SELL,ATHN1,,84.0
whole,2009-03-02,BUY,COCOQ,,141.0
whole,2009-03-03,SELL,ALK,,111.0
whole,2009-03-03,SELL,THOR1,,107.0
whole,2009-03-04,SELL,VRX1,,182.0
whole,2009-03-04,SELL,IDCC,,104.0
whole,2009-03-04,BUY,PRDO,,112.0
whole,2009-03-05,SELL,FRFHF,,9.0
whole,2009-03-11,SELL,AVAV,,82.0
whole,2009-03-23,BUY,CVTX,,138.0
whole,2009-03-24,BUY,AU,,78.0
whole,2009-04-01,BUY,SNDA1,,74.0
whole,2009-04-02,BUY,AZO,,17.0
whole,2009-04-03,BUY,BKNG,,33.0
whole,2009-04-06,BUY,IAG,,364.0
whole,2009-04-07,BUY,ADM,,106.0
whole,2009-04-08,BUY,NFLX,,1.0
whole,2009-04-13,SELL,APOL,,42.0
whole,2009-04-14,BUY,SGP1,,113.0
whole,2009-05-08,SELL,FNF,,165.0
whole,2009-05-08,SELL,MYGN,,130.0
whole,2009-05-13,BUY,TIVO,,139.0
whole,2009-06-03,BUY,IQNT,,97.0
whole,2009-06-09,SELL,AMGN,,54.0
whole,2009-06-10,BUY,PALM,,236.0
whole,2009-06-11,BUY,STRZA,,200.0
whole,2009-06-18,SELL,MNST,,92.0
whole,2009-07-10,BUY,STEC1,,120.0
whole,2009-07-21,SELL,RGLD,,66.0
whole,2009-07-21,BUY,BIDU,,9.0
whole,2009-08-06,SELL,ESINQ,,25.0
whole,2009-08-07,SELL,WTRG,,154.0
whole,2009-08-12,SELL,MBOT,,1443.0
whole,2009-08-20,SELL,COCOQ,,141.0
whole,2009-08-20,BUY,ASH,,94.0
whole,2009-09-08,BUY,DTGF,,151.0
whole,2009-09-09,BUY,PWRD1,,90.0
whole,2009-09-14,BUY,FUQI,,10.0
whole,2009-09-18,SELL,IQNT,,97.0
whole,2009-09-22,SELL,STEC1,,120.0
whole,2009-09-22,BUY,CAR,,248.0
whole,2009-09-23,SELL,AZO,,17.0
whole,2009-10-20,BUY,JNY,,180.0
whole,2009-10-22,BUY,VECO,,54.0
whole,2009-10-28,SELL,CAR,,248.0
whole,2009-10-28,SELL,FUQI,,10.0
whole,2009-10-29,SELL,SNDA1,,74.0
whole,2009-10-29,BUY,WCRX,,144.0
whole,2009-11-02,SELL,DTGF,,151.0
whole,2009-11-02,SELL,PALM,,236.0
whole,2009-11-30,BUY,MATV,,55.0
whole,2009-12-01,BUY,TUPBQ,,71.0
whole,2009-12-02,BUY,MCK,,54.0
whole,2009-12-03,BUY,PRGO,,27.0
whole,2010-01-26,SELL,IAG,,364.0
whole,2010-01-27,BUY,HNT,,139.0
whole,2010-01-28,BUY,SKX,,58.0
whole,2010-02-12,SELL,MATV,,55.0
whole,2010-02-26,BUY,EL,,43.0
whole,2010-03-03,SELL,PWRD1,,90.0
whole,2010-03-17,BUY,LNCR,,66.0
whole,2010-05-20,SELL,BKNG,,33.0
whole,2010-05-21,BUY,DTGF,,84.0
whole,2010-05-25,SELL,TUPBQ,,71.0
whole,2010-05-26,SELL,VECO,,54.0
whole,2010-06-08,SELL,GMCR,,346.5
whole,2010-06-22,BUY,APKT,,132.0
whole,2010-06-25,BUY,TSN,,211.0
whole,2010-06-28,SELL,PRDO,,112.0
whole,2010-06-28,BUY,VCI,,109.0
whole,2010-06-30,SELL,JNY,,180.0
whole,2010-07-07,SELL,ASH,,94.0
whole,2010-07-09,BUY,IDC,,109.0
whole,2010-07-29,BUY,CRUS,,193.0
whole,2010-08-10,SELL,SKX,,58.0
whole,2010-08-11,SELL,CRI,,159.0
whole,2010-08-13,BUY,AZO,,18.0
whole,2010-08-16,BUY,VMW,,48.0
whole,2010-08-18,SELL,EL,,43.0
whole,2010-08-27,SELL,LNCR,,99.0
whole,2010-09-10,BUY,LTMAY,,131.0
whole,2010-09-13,BUY,VRX1,,59.0
whole,2010-09-14,BUY,PWER1,,342.0
whole,2010-09-20,BUY,ISLN,,77.0
whole,2010-10-12,BUY,BHC,,138.0
whole,2010-10-22,SELL,CRUS,,193.0
whole,2010-11-09,SELL,WCRX,,144.0
whole,2010-11-10,BUY,ENDPQ,,115.0
whole,2010-11-23,BUY,LYB,,49.0
whole,2010-12-15,SELL,TSN,,211.0
whole,2010-12-16,SELL,VCI,,109.0
whole,2010-12-16,BUY,FOSL,,61.0
whole,2011-01-18,BUY,ALXN,,55.0
whole,2011-01-19,BUY,ATML,,76.0
whole,2011-03-01,SELL,PWER1,,342.0
whole,2011-03-02,BUY,URI,,95.0
whole,2011-03-03,SELL,LTMAY,,131.0
whole,2011-03-18,SELL,ATML,,76.0
whole,2011-03-31,BUY,SM,,59.0
whole,2011-05-03,SELL,TIVO,,139.0
whole,2011-05-04,BUY,JAZZ,,161.0
whole,2011-05-05,BUY,BASXQ,,55.0
whole,2011-06-08,SELL,URI,,95.0
whole,2011-06-09,BUY,GLNG,,75.0
whole,2011-07-28,SELL,APKT,,132.0
whole,2011-07-29,BUY,VRUS1,,43.0
whole,2011-08-08,SELL,HNT,,139.0
whole,2011-08-08,SELL,BHC,,138.0
whole,2011-08-08,SELL,BASXQ,,55.0
whole,2011-08-09,SELL,FOSL,,61.0
whole,2011-08-09,SELL,LYB,,49.0
whole,2011-08-09,SELL,ADM,,106.0
whole,2011-08-09,SELL,SMG,,94.0
whole,2011-08-22,SELL,ENDPQ,,115.0
whole,2011-08-22,SELL,NFLX,,1.0
whole,2011-08-23,SELL,STRZA,,200.0
whole,2011-08-29,BUY,DPZ,,170.0
whole,2011-09-08,BUY,QCOR,,159.0
whole,2011-09-09,BUY,RGLD,,59.0
whole,2011-09-12,BUY,GOLD1,,43.0
whole,2011-09-13,BUY,GMCR,,43.0
whole,2011-09-14,BUY,MNST,,54.0
whole,2011-09-15,BUY,PSMT,,66.0
whole,2011-09-16,BUY,MCD,,55.0
whole,2011-09-22,BUY,DMND,,34.0
whole,2011-09-29,SELL,DTGF,,84.0
whole,2011-09-30,SELL,BIDU,,90.0
whole,2011-09-30,BUY,ELN,,434.0
whole,2011-10-03,BUY,CBST,,128.0
whole,2011-10-04,SELL,SM,,59.0
whole,2011-10-20,SELL,GMCR,,43.0
whole,2011-10-26,SELL,DMND,,34.0
whole,2011-10-31,BUY,SUG,,113.0
whole,2011-11-01,BUY,GR,,38.0
whole,2011-11-03,BUY,BMRN,,127.0
whole,2012-02-01,BUY,DG,,122.0
whole,2012-02-02,BUY,KMR,,81.0
whole,2012-03-02,SELL,RGLD,,59.0
whole,2012-03-02,BUY,PAA,,65.0
whole,2012-03-08,SELL,PSMT,,66.0
whole,2012-04-05,SELL,GOLD1,,43.0
whole,2012-04-05,SELL,AU,,78.0
whole,2012-04-11,BUY,PIRRQ,,299.0
whole,2012-04-12,BUY,VAL1,,110.0
whole,2012-05-08,BUY,HD,,99.0
whole,2012-05-10,SELL,GLNG,,75.0
whole,2012-05-11,BUY,EC,,39.0
whole,2012-06-04,SELL,DPZ,,170.0
whole,2012-06-05,BUY,SHW,,40.0
whole,2012-07-26,SELL,QCOR,,159.0
whole,2012-08-09,BUY,SBAC,,91.0
whole,2012-08-10,BUY,PCYC,,96.0
whole,2012-08-13,SELL,MNST,,108.0
whole,2012-08-27,BUY,ELLI,,223.0
whole,2012-09-10,BUY,DK,,22.0
whole,2012-10-19,SELL,DLTR,,216.0
whole,2012-10-22,BUY,ONIT,,154.0
whole,2012-11-02,SELL,EC,,39.0
whole,2012-11-08,SELL,PCYC,,96.0
whole,2012-11-09,SELL,ELN,,434.0
whole,2012-11-23,BUY,VMED,,161.0
whole,2012-12-05,BUY,HOV,,1082.0
whole,2012-12-11,BUY,WHR,,35.0
whole,2013-01-30,SELL,VMW,,48.0
whole,2013-01-31,BUY,CVI,,68.0
whole,2013-02-01,SELL,ELLI,,223.0
whole,2013-03-04,BUY,EV1,,131.0
whole,2013-04-18,SELL,ONIT,,154.0
whole,2013-04-19,SELL,HOV,,1082.0
whole,2013-04-19,BUY,LUV,,458.0
whole,2013-05-20,BUY,OHI,,131.0
whole,2013-06-03,BUY,RDN,,40.0
whole,2013-06-24,SELL,CVI,,68.0
whole,2013-07-02,SELL,DK,,22.0
whole,2013-07-24,BUY,NXST,,183.0
whole,2013-07-25,BUY,CBOE,,114.0
whole,2013-08-02,BUY,TW2,,2.0
whole,2013-11-07,SELL,OHI,,131.0
whole,2013-12-10,BUY,OA,,41.0
whole,2014-03-12,SELL,NXST,,183.0
whole,2014-04-08,SELL,PIRRQ,,299.0
whole,2014-04-11,BUY,GLOG,,317.0
whole,2014-04-14,SELL,BMRN,,127.0
whole,2014-05-09,BUY,TRGP,,72.0
whole,2014-05-15,BUY,HP,,45.0
whole,2014-10-01,SELL,GLOG,,317.0
whole,2014-10-14,SELL,HP,,45.0
whole,2014-10-31,BUY,MDVN,,86.0
whole,2014-11-06,SELL,OA,,41.0
whole,2014-11-13,BUY,CNQR,,54.0
whole,2014-12-02,SELL,TRGP,,72.0
whole,2014-12-19,BUY,LOW,,142.0
whole,2015-01-05,BUY,CBRL,,69.0
whole,2015-01-14,BUY,TPST,,80.0
whole,2015-02-05,BUY,BBWI,,106.0
whole,2015-03-09,BUY,KR,,52.0
whole,2015-04-01,SELL,TPST,,80.0
whole,2015-05-04,BUY,COR,,27.0
whole,2015-07-02,SELL,LUV,,458.0
whole,2015-07-02,SELL,PAA,,130.0
whole,2015-07-29,SELL,BBWI,,106.0
whole,2015-08-04,BUY,ADPTQ,,87.0
whole,2015-08-05,BUY,SKX,,64.0
whole,2015-08-21,SELL,MDVN,,86.0
whole,2015-08-27,SELL,KR,,104.0
whole,2015-08-28,BUY,DXCM,,101.0
whole,2015-09-23,BUY,PRE1,,66.0
whole,2015-09-28,SELL,JAZZ,,161.0
whole,2015-09-29,SELL,WHR,,35.0
whole,2015-09-29,BUY,AX,,70.0
whole,2015-10-01,SELL,ADPTQ,,87.0
whole,2015-10-15,SELL,AX,,70.0
whole,2015-10-15,SELL,DXCM,,101.0
whole,2015-10-22,SELL,COR,,27.0
whole,2015-10-26,SELL,SKX,,192.0
whole,2015-10-28,BUY,UHAL,,22.0
whole,2015-10-29,BUY,AIZ,,111.0
whole,2015-11-02,BUY,ACGL,,121.0
whole,2015-11-16,BUY,ATVI,,256.0
whole,2015-11-17,BUY,DY,,106.0
whole,2015-11-23,BUY,TYL,,48.0
whole,2015-12-03,BUY,VRSN,,3.0
whole,2015-12-17,SELL,RDN,,40.0
whole,2016-01-05,SELL,PRGO,,27.0
whole,2016-01-07,SELL,EV1,,131.0
whole,2016-01-12,SELL,MCK,,54.0
whole,2016-01-21,SELL,SBAC,,91.0
whole,2016-01-21,SELL,DY,,106.0
whole,2016-01-21,BUY,SWI1,,142.0
whole,2016-02-02,SELL,ALXN,,110.0
whole,2016-02-05,BUY,TAL,,173.0
whole,2016-02-19,SELL,TYL,,48.0
whole,2016-02-22,BUY,HPY,,89.0
whole,2016-02-23,BUY,EDU,,265.0
whole,2016-02-24,BUY,HRL,,192.0
whole,2016-02-25,BUY,COR2,,129.0
whole,2016-02-26,BUY,EDR1,,212.0
whole,2016-03-04,BUY,HMIN,,117.0
whole,2016-04-04,BUY,BRKR,,308.0
whole,2016-04-18,BUY,QIHU,,64.0
whole,2016-04-21,SELL,UHAL,,22.0
whole,2016-04-22,SELL,AIZ,,111.0
whole,2016-04-26,SELL,ACGL,,121.0
whole,2016-05-09,BUY,CPB,,141.0
whole,2016-05-17,BUY,AG,,788.0
whole,2016-05-23,BUY,B,,500.0
whole,2016-05-24,BUY,BKH,,126.0
whole,2016-05-26,SELL,VRSN,,3.0
whole,2016-05-27,BUY,CDE,,41.0
whole,2016-06-30,BUY,HMY,,79.0
whole,2016-07-15,BUY,IRM,,9.0
whole,2016-08-15,SELL,HRL,,192.0
whole,2016-08-30,BUY,NUVA,,142.0
whole,2016-08-31,SELL,AG,,788.0
whole,2016-09-15,BUY,EXEL,,697.0
whole,2016-09-19,SELL,HMY,,79.0
whole,2016-09-22,SELL,BRKR,,308.0
whole,2016-10-03,BUY,WB,,180.0
whole,2016-10-05,SELL,CDE,,41.0
whole,2016-10-05,SELL,B,,500.0
whole,2016-10-06,SELL,DG,,122.0
whole,2016-10-19,BUY,NTES,,33.0
whole,2016-10-24,BUY,NVDA,,132.0
whole,2016-10-27,SELL,CPB,,141.0
whole,2016-11-01,SELL,EXEL,,697.0
whole,2016-11-04,BUY,GEN,,372.0
whole,2016-11-07,BUY,BRSL,,252.0
whole,2016-11-11,SELL,BKH,,126.0
whole,2016-11-14,BUY,FNSR,,228.0
whole,2016-12-01,BUY,REN,,8.0
whole,2017-01-05,SELL,IRM,,9.0
whole,2017-01-06,BUY,CFG,,13.0
whole,2017-02-17,BUY,AGO,,6.0
whole,2017-03-09,BUY,STM,,20.0
whole,2017-03-27,SELL,WB,,180.0
whole,2017-04-06,SELL,FNSR,,228.0
whole,2017-04-27,BUY,MASI,,102.0
whole,2017-05-02,SELL,BRSL,,252.0
whole,2017-05-09,BUY,WNC,,466.0
whole,2017-06-15,BUY,RACE,,124.0
whole,2017-06-16,SELL,REN,,8.0
whole,2017-06-29,SELL,CFG,,13.0
whole,2017-06-29,SELL,AZO,,18.0
whole,2017-07-06,SELL,ORLY,,102.0
whole,2017-07-17,BUY,ISRG,,11.0
whole,2017-07-19,BUY,SPGI,,72.0
whole,2017-08-01,BUY,FIZZ,,103.0
whole,2017-09-01,BUY,PRXL,,3.0
whole,2017-09-20,SELL,NUVA,,142.0
whole,2017-09-21,BUY,ATHM,,118.0
whole,2017-10-17,SELL,MASI,,102.0
whole,2017-10-20,BUY,PYPL,,128.0
whole,2017-11-29,BUY,IBKR,,5.0
whole,2018-01-02,BUY,DHI,,7.0
whole,2018-01-05,SELL,EDR1,,212.0
whole,2018-02-07,BUY,EC,,418.0
whole,2018-03-20,SELL,FIZZ,,103.0
whole,2018-04-20,BUY,GMED,,195.0
whole,2018-04-25,SELL,NTES,,33.0
whole,2018-05-14,SELL,GEN,,372.0
whole,2018-05-25,BUY,HLF,,264.0
whole,2018-06-14,BUY,ABMD,,8.0
whole,2018-06-25,SELL,DHI,,7.0
whole,2018-07-26,BUY,TNDM,,34.0
whole,2018-07-31,SELL,TAL,,1038.0
whole,2018-08-03,SELL,CBOE,,114.0
whole,2018-08-13,SELL,WNC,,466.0
whole,2018-08-13,SELL,ATHM,,118.0
whole,2018-08-30,BUY,AMED,,107.0
whole,2018-09-05,BUY,IIN,,173.0
whole,2018-09-06,SELL,EDU,,265.0
whole,2018-09-10,SELL,STM,,20.0
whole,2018-09-13,BUY,WWE,,152.0
whole,2018-09-14,BUY,FNKO,,575.0
whole,2018-09-28,SELL,IBKR,,5.0
whole,2018-10-03,SELL,TNDM,,34.0
whole,2018-10-08,BUY,EPAY,,183.0
whole,2018-10-10,SELL,GMED,,195.0
whole,2018-10-10,BUY,WCG,,39.0
whole,2018-10-11,SELL,IIN,,173.0
whole,2018-10-25,SELL,NVDA,,132.0
whole,2018-10-30,SELL,WWE,,152.0
whole,2018-10-30,BUY,REGI,,381.0
whole,2018-11-02,BUY,RGEN,,178.0
whole,2018-11-09,BUY,TJX,,208.0
whole,2018-11-12,SELL,ATVI,,256.0
whole,2018-11-12,SELL,FNKO,,575.0
whole,2018-11-12,BUY,LLY,,100.0
whole,2018-11-15,SELL,ABMD,,8.0
whole,2018-11-21,SELL,EC,,418.0
whole,2018-11-27,BUY,MKC,,74.0
whole,2018-11-30,BUY,CABO,,12.0
whole,2018-12-14,SELL,RACE,,124.0
whole,2018-12-14,BUY,MZTI,,58.0
whole,2018-12-17,BUY,AEE,,153.0
whole,2018-12-18,SELL,EPAY,,183.0
whole,2018-12-19,BUY,HELE,,77.0
whole,2018-12-26,SELL,WCG,,39.0
whole,2018-12-26,SELL,COR2,,129.0
whole,2018-12-26,BUY,IDTI,,204.0
whole,2019-01-17,BUY,TRCO,,233.0
whole,2019-01-22,BUY,ESL,,89.0
whole,2019-01-29,BUY,AU,,439.0
whole,2019-03-04,BUY,KL,,8.0
whole,2019-04-03,SELL,REGI,,381.0
whole,2019-04-29,BUY,SEE,,247.0
whole,2019-05-06,BUY,ENPH,,844.0
whole,2019-05-07,SELL,TJX,,208.0
whole,2019-05-15,BUY,ZNGA,,1851.0
whole,2019-05-28,SELL,HLF,,264.0
whole,2019-06-07,BUY,ERIE,,49.0
whole,2019-06-10,SELL,MZTI,,58.0
whole,2019-06-13,SELL,HELE,,77.0
whole,2019-06-27,BUY,SHOP,,40.0
whole,2019-07-11,BUY,AWI,,123.0
whole,2019-07-16,BUY,PRO,,42.0
whole,2019-09-10,SELL,ENPH,,844.0
whole,2019-09-30,SELL,ERIE,,49.0
whole,2019-10-10,BUY,HSY,,78.0
whole,2019-10-17,SELL,SEE,,247.0
whole,2019-10-29,SELL,PRO,,42.0
whole,2019-10-30,BUY,AWR,,131.0
whole,2019-11-01,BUY,AQN,,905.0
whole,2019-11-18,BUY,RH,,67.0
whole,2019-11-29,BUY,GNRC,,36.0
whole,2019-12-31,SELL,AWI,,123.0
whole,2020-02-03,BUY,SYNA,,180.0
whole,2020-02-10,SELL,KL,,8.0
whole,2020-03-06,SELL,RH,,67.0
whole,2020-03-10,SELL,CBRL,,69.0
