date,ticker,qty,price,notional
2003-05-30,SSYS,371808.0,26.250000000000004,9759960.000000002
2003-06-04,ERT,542962.0,18.261484132665235,9915291.94764018
2003-07-03,MOGN,290628.0,26.83,7797549.239999999
2003-09-05,AVDL,359858.0,32.89,11835729.620000001
2003-09-08,NTLI1,250993.0,47.09,11819260.370000001
2003-09-09,AXON,269232.0,23.191858596679165,6243990.473701125
2003-09-29,AV1,920.0,10.87,10000.4
2003-11-13,SNDK1,151601.0,84.45,12802704.450000001
2003-11-19,TRIDQ,491691.0,25.500986880297226,12538605.740160223
2003-12-03,BGO,3255529.0,4.11,13380224.190000001
2004-01-14,CALM,413519.0,32.352,13378166.688
2004-01-21,CLF,277626.0,49.75001595150742,13811897.9285532
2004-02-25,ANDV,833435.0,16.9,14085051.499999998
2004-04-08,BC,377420.0,41.95,15832769.000000002
2004-04-13,VAR,178405.0,88.7,15824523.5
2004-04-16,SUN1,246343.0,63.08,15539316.44
2004-05-14,AWE,1026155.0,13.99,14355908.450000001
2004-05-21,CME,114503.0,123.97,14194936.91
2004-05-25,WYNN,352965.0,40.6,14330379.0
2004-05-28,BCR,132030.0,112.57,14862617.1
2004-06-03,ELN,637316.0,23.45,14945060.2
2004-07-27,SIE,315714.0,44.85,14159772.9
2004-08-26,SHLDQ,179133.0,77.34,13854146.22
2004-08-30,TPL,166911.0,83.78507146638434,13984650.063525677
2004-09-07,LSTR,261136.0,54.18,14148348.48
2004-09-09,DINO,665345.0,21.077983932670236,14024131.219682477
2004-09-17,TCF1,423.0,31.38,13273.74
2004-11-26,GRA,1225509.0,13.73,16826238.57
2004-12-01,TXU,270036.0,62.26,16812441.36
2004-12-06,SWN,247237.0,52.32398280362353,12936424.53641947
2005-02-28,AGP,451310.0,40.2,18142662.0
2005-03-28,GIL,181513.0,43.08204713932712,7819951.622400684
2005-04-12,WLTGQ,720.0,23.129,16652.88
2005-05-25,TOY,717018.0,26.07,18692659.26
2005-06-03,SQM,204651.0,93.87000000000002,19210589.370000005
2005-08-22,VPHM,1393009.0,15.08,21006575.72
2005-08-29,HLF,722327.0,29.08,21005269.16
2005-09-14,SIRF,650975.0,26.5,17250837.5
2005-11-14,HNT,398791.0,49.6,19780033.6
2005-11-29,DCEL,3042097.0,7.45,22663622.650000002
2005-12-16,IRM,482678.0,44.20100228411687,21334851.380492963
2005-12-22,CELL1,584.0,28.470400906287374,16626.714129271826
2006-02-15,TIMB,541779.0,37.26,20186685.54
2006-04-10,IIIN,455731.0,53.42,24345150.02
2006-05-31,GPI,379558.0,61.019999999999996,23160629.16
2006-06-07,ZOLT,782709.0,30.01,23489097.09
2006-06-08,LFCHY,388905.0,59.89771191060234,23294519.650592804
2006-06-21,BFH,415330.0,54.2,22510886.0
2006-06-22,KEX,624527.0,37.0,23107499.0
2006-06-29,FALB,455986.0,51.57,23515198.02
2006-07-10,MED,815713.0,19.4,15824832.2
2006-07-13,TRBS,3886.0,37.8,146890.8
2006-07-21,VOLT2,772.0,47.80897207407162,36908.52644118329
2006-07-24,OMX,470996.0,42.35,19946680.6
2006-08-02,OGE,591730.0,39.15,23166229.5
2006-08-23,AZN,358977.0,63.19,22683756.63
2006-09-01,UST1,118079.0,53.12,6272356.4799999995
2006-09-13,HCR1,273.0,52.78,14408.94
2006-09-18,CXW,1551.0,43.35,67235.85
2006-12-04,VNO,190166.0,126.74,24101638.84
2006-12-07,MA,245460.0,99.3,24374178.0
2006-12-08,POT,171883.0,140.79698756391642,24200608.613448646
2006-12-13,LTMAY,482028.0,49.65,23932690.2
2006-12-20,ITC,612325.0,38.751000000000005,23728206.075000003
2007-01-17,CF,13079.0,29.39,384391.81
2007-02-27,TSG1,809644.0,32.41,26240562.039999995
2007-03-20,TRA,1457207.0,17.95,26156865.65
2007-03-30,MIR2,638468.0,41.21,26311266.28
2007-04-10,CE,846430.0,32.16,27221188.799999997
2007-04-11,NRG,78477.0,77.38,6072550.26
2007-05-01,MFW,7158.0,63.88,457253.04000000004
2007-06-29,GEN1,836567.0,27.329999999999995,22863376.109999996
2007-08-10,TBSIQ,748165.0,36.91,27614770.15
2007-09-12,GRMN,258895.0,106.9,27675875.5
2007-09-13,SYNA,641120.0,43.11049089604755,27638997.923274007
2007-09-18,EDO,503704.0,54.87,27638238.48
2007-11-09,BIDU,90051.0,338.50999999999993,30483164.009999994
2007-11-20,MTL,396522.0,72.96,28930245.119999997
2007-12-12,TELFY,301825.0,101.9110025676593,30759288.349983767
2007-12-13,SIGM,464915.0,66.47,30902900.05
2007-12-14,BMRN,866697.0,35.76,30993084.72
2008-01-23,INCY,2423780.0,11.250000000000002,27267525.000000004
2008-01-24,PHRM,407802.0,67.54,27542947.080000002
2008-01-25,MOS,290581.0,96.23,27962609.630000003
2008-01-28,CNX,382290.0,73.25001528353317,28002748.342741895
2008-02-08,MEE,702343.0,40.37,28353586.909999996
2008-02-12,PRGO,801535.0,36.2,29015567.000000004
2008-02-21,FRFHF,98814.0,298.33,29479180.619999997
2008-02-22,CMO,1630432.0,18.02,29380384.64
2008-03-11,JRCCQ,1588863.0,17.07,27121891.41
2008-03-12,BVN,365082.0,77.6,28330363.2
2008-04-09,WLTGQ,440578.0,69.56,30646605.68
2008-04-10,XEC,520609.0,58.87,30648251.83
2008-04-11,CMP,96200.0,66.54,6401148.000000001
2008-06-02,MMR,591670.0,32.49,19223358.3
2008-07-08,ANRZQ,379547.0,86.25,32735928.75
2008-08-06,SPSX,676280.0,44.98,30419074.4
2008-08-07,DRS1,390201.0,78.8,30747838.8
2008-08-08,IPHS,826982.0,36.83,30457747.06
2008-08-20,FSYS,500939.0,60.23,30171555.97
2008-08-21,MYGN,481006.0,63.0,30303378.0
2008-08-22,BUD1,449177.0,67.74,30427249.979999997
2008-08-25,ISYS,658942.0,46.35000000000001,30541961.700000007
2008-08-29,IKN,1761355.0,17.39,30629963.45
2008-09-04,SQNM,1270562.0,23.38,29705739.56
2008-09-05,THOR1,1110866.0,26.12,29015819.92
2008-09-08,OCR,927456.0,31.28,29010823.68
2008-09-09,UTHR,262853.0,109.01,28653605.53
2008-09-12,TREX,1494148.0,19.304,28843032.992
2008-09-15,DXPE,474262.0,61.02,28939467.240000002
2008-10-07,LDG,356726.0,73.29,26144448.540000003
2008-10-08,UB,347105.0,73.75,25598993.75
2008-10-09,IMCL,378646.0,66.98,25361709.080000002
2008-10-13,PB,745212.0,33.5,24964602.0
2008-10-14,SF,566961.0,44.99797627301441,25512097.62572452
2008-10-15,FDRY,1514228.0,16.83,25484457.24
2008-10-17,PHLY,448001.0,56.57,25343416.57
2008-10-20,NWA,2337273.0,10.93,25546393.89
2008-10-30,CBST,1068366.0,22.75,24305326.5
2008-11-04,LPHIQ,664290.0,37.459698106697715,24884102.855298225
2008-11-05,VRX1,1330636.0,18.88,25122407.68
2008-11-07,BRL,395520.0,62.91,24882163.2
2008-11-10,SQNM,1368126.0,18.25,24968299.5
2008-11-11,AMGN,428379.0,58.22,24940225.38
2008-11-12,COCOQ,1719870.0,14.42,24800525.4
2008-11-13,DNA1,305729.0,79.7,24366601.3
2008-11-20,AFAM,560008.0,42.42,23755539.36
2008-11-25,FDO,869639.0,27.65,24045518.349999998
2008-12-01,APOL,319345.0,76.62,24468213.900000002
2008-12-02,THOR1,971175.0,24.310000000000002,23609264.250000004
2008-12-03,HMSY,865368.0,27.89902074339265,24142919.78266821
2008-12-04,ESINQ,271671.0,90.06,24466690.26
2008-12-05,ALO1,681080.0,35.61,24253258.8
2008-12-08,NDN,2092215.0,11.82,24729981.3
2008-12-18,SMG,835981.0,29.84,24945673.04
2008-12-24,WKC,709132.0,34.95,24784163.400000002
2008-12-26,LCC,3286775.0,7.54,24782283.5
2008-12-29,DLTR,605945.0,41.21898724847056,24976439.228274494
2008-12-31,CWT,552763.0,45.89,25366294.07
2009-01-22,TREX,1601396.0,16.009932399806857,25638241.705321103
2009-01-26,IDCC,824828.0,31.18,25718137.04
2009-01-30,WTRG,1236796.0,20.71,25614045.16
2009-02-05,MNST,756270.0,33.91780287474332,25651016.780082133
2009-02-13,FNF,1402803.0,17.89,25096145.67
2009-02-27,HMY,1883224.0,12.28,23125990.72
2009-03-04,PRDO,942908.0,23.760000000000005,22403494.080000006
2009-03-09,NFLX,580744.0,38.22,22196035.68
2009-03-10,GFI,2041213.0,10.9,22249221.7
2009-03-16,CVTX,1188500.0,19.74,23460990.0
2009-03-24,AU,668784.0,36.09,24136414.560000002
2009-03-25,ORLY,715890.0,33.33488781346238,23864112.836779583
2009-04-02,AZO,146558.0,165.84,24305178.72
2009-04-03,BKNG,278982.0,86.05485472496474,24007755.480880115
2009-04-06,IAG,904854.0,7.79,7048812.66
2009-04-28,VTRS,1604664.0,14.44,23171348.16
2009-05-13,GMCR,289000.0,79.59200909561915,23002090.628633935
2009-05-19,CHS,2824764.0,8.0,22598112.0
2009-05-20,AN,1399488.0,16.29,22797659.52
2009-06-08,PALM,1892792.0,12.23,23148846.16
2009-06-10,STRZA,1574167.0,14.85,23376379.95
2009-06-11,TIVO,1026103.0,22.54,23128361.619999997
2009-06-12,BIDU,78072.0,297.09000000000003,23194410.480000004
2009-06-30,STEC1,988668.0,23.65,23381998.2
2009-07-21,NTES,489318.0,41.459999999999994,20287124.279999997
2009-07-27,STX,1859449.0,11.63,21625391.87
2009-08-24,ASH,4130.0,37.73,155824.9
2009-10-22,MATV,481644.0,57.26,27578935.439999998
2009-10-23,MSTR,330192.0,73.95,24417698.400000002
2009-12-03,CBDBY,320953.0,68.3,21921089.9
2010-02-11,DBI,1094227.0,26.49,28986073.229999997
2010-02-26,PRGO,521930.0,49.79,25986894.7
2010-03-17,EL,4868.0,63.47,308971.96
2010-06-08,OUTR,627273.0,51.1,32053650.3
2010-06-22,APKT,1125268.0,29.42,33105384.560000002
2010-06-29,CMG,228437.0,143.9895991332611,32892552.057204764
2010-06-30,CRUS,1979874.0,16.1,31875971.400000002
2010-07-08,HSY,647253.0,50.1,32427375.3
2010-07-09,IDC,968244.0,33.65,32581410.599999998
2010-07-29,VRX1,590206.0,56.78,33511896.68
2010-08-02,DTGF,662779.0,50.74,33629406.46
2010-08-06,AZO,7924.0,205.25000000000003,1626401.0000000002
2010-08-30,PSYS,19378.0,33.26,644512.2799999999
2010-10-07,ISLN,1579335.0,23.88,37714519.8
2010-10-27,CIB,418870.0,64.87,27172096.900000002
2010-11-23,LYB,29356.0,29.25,858663.0
2010-12-16,ENDPQ,10389.0,36.57,379925.73
2011-01-21,ALXN,497153.0,85.55,42531439.15
