ticker,relatedtickers_raw,old_issuer_key,corrected_issuer_key
TMS,LOKVU LOKV,LOKVU LOKV|TMS,LOKV|LOKVU|TMS
TMTCR,ELPW TMTC TMTCU,ELPW TMTC TMTCU|TMTCR,ELPW|TMTC|TMTCR|TMTCU
TMTCU,TMTCR ELPW TMTC,TMTCR ELPW TMTC|TMTCU,ELPW|TMTC|TMTCR|TMTCU
TMTSU1,TMTSU TMTS NN,TMTSU TMTS NN|TMTSU1,NN|TMTS|TMTSU|TMTSU1
TMUS,PCS TMUSZ TMUSI TMBLP TMUSL TMUSP TMUS-PA,PCS TMUSZ TMUSI TMBLP TMUSL TMUSP TMUS-PA|TMUS,PCS|TMBLP|TMUS|TMUS-PA|TMUSI|TMUSL|TMUSP|TMUSZ
TMUSP,PCS TMUS TMUSZ TMUSI TMBLP TMUSL TMUS-PA,PCS TMUS TMUSZ TMUSI TMBLP TMUSL TMUS-PA|TMUSP,PCS|TMBLP|TMUS|TMUS-PA|TMUSI|TMUSL|TMUSP|TMUSZ
TMYEQ,TMXN TMYE TMY,TMXN TMYE TMY|TMYEQ,TMXN|TMY|TMYE|TMYEQ
TNL,WYND WYN,TNL|WYND WYN,TNL|WYN|WYND
TNMG,BOCNW BOCN BOCNU,BOCNW BOCN BOCNU|TNMG,BOCN|BOCNU|BOCNW|TNMG
TNOLF,BVRTF BVRT,BVRTF BVRT|TNOLF,BVRT|BVRTF|TNOLF
TNP-PB,TNP-PE TEN-PF TEN-PE TNP TNP-PD TEN TNP-PF TNP-PC,TNP-PB|TNP-PE TEN-PF TEN-PE TNP TNP-PD TEN TNP-PF TNP-PC,TEN|TEN-PE|TEN-PF|TNP|TNP-PB|TNP-PC|TNP-PD|TNP-PE|TNP-PF
TNP-PC,TNP-PE TEN-PF TEN-PE TNP TNP-PD TEN TNP-PB TNP-PF,TNP-PC|TNP-PE TEN-PF TEN-PE TNP TNP-PD TEN TNP-PB TNP-PF,TEN|TEN-PE|TEN-PF|TNP|TNP-PB|TNP-PC|TNP-PD|TNP-PE|TNP-PF
TNP-PD,TNP-PE TEN-PF TEN-PE TNP TEN TNP-PB TNP-PF TNP-PC,TNP-PD|TNP-PE TEN-PF TEN-PE TNP TEN TNP-PB TNP-PF TNP-PC,TEN|TEN-PE|TEN-PF|TNP|TNP-PB|TNP-PC|TNP-PD|TNP-PE|TNP-PF
TNSIQ,TRIN ZTEL,TNSIQ|TRIN ZTEL,TNSIQ|TRIN|ZTEL
TOAC,TOACW TOACU,TOAC|TOACW TOACU,TOAC|TOACU|TOACW
TOACU,TOACW TOAC,TOACU|TOACW TOAC,TOAC|TOACU|TOACW
TOACW,TOACU TOAC,TOACU TOAC|TOACW,TOAC|TOACU|TOACW
TOI,DFPHU DFPH,DFPHU DFPH|TOI,DFPH|DFPHU|TOI
TONT,GRAF GRAF.U TONT.U,GRAF GRAF.U TONT.U|TONT,GRAF|GRAF.U|TONT|TONT.U
TONT.U,GRAF GRAF.U TONT,GRAF GRAF.U TONT|TONT.U,GRAF|GRAF.U|TONT|TONT.U
TONX,VERB VRRB FUSZD BBTH VERBW FUSZ,TONX|VERB VRRB FUSZD BBTH VERBW FUSZ,BBTH|FUSZ|FUSZD|TONX|VERB|VERBW|VRRB
TOO,TOO-PE TOO-PA ALIN-PE TOO-PB ALIN-PB ALIN-PA,TOO|TOO-PE TOO-PA ALIN-PE TOO-PB ALIN-PB ALIN-PA,ALIN-PA|ALIN-PB|ALIN-PE|TOO|TOO-PA|TOO-PB|TOO-PE
TOON,PENT GNUSD GNUS,PENT GNUSD GNUS|TOON,GNUS|GNUSD|PENT|TOON
TORZ,SUOT SUTR TOR,SUOT SUTR TOR|TORZ,SUOT|SUTR|TOR|TORZ
TOUSQ,TOA TOUS,TOA TOUS|TOUSQ,TOA|TOUS|TOUSQ
TOVX,SYN PPXP AEN PPEX PP,SYN PPXP AEN PPEX PP|TOVX,AEN|PP|PPEX|PPXP|SYN|TOVX
TOYO,BWAQU BWAQW BWAQR BWAQ,BWAQU BWAQW BWAQR BWAQ|TOYO,BWAQ|BWAQR|BWAQU|BWAQW|TOYO
TPBAU,KBFR TPBA LVROW LVROF TPBAW,KBFR TPBA LVROW LVROF TPBAW|TPBAU,KBFR|LVROF|LVROW|TPBA|TPBAU|TPBAW
TPCG,TXPI TPCP,TPCG|TXPI TPCP,TPCG|TPCP|TXPI
TPCO,TRNC TPUB,TPCO|TRNC TPUB,TPCO|TPUB|TRNC
TPGY,TPGY.WS TPGY.U,TPGY|TPGY.WS TPGY.U,TPGY|TPGY.U|TPGY.WS
TPGY.U,TPGY TPGY.WS,TPGY TPGY.WS|TPGY.U,TPGY|TPGY.U|TPGY.WS
