date,nav_terminal_corrected,allocation_terminal_corrected,parent_allocation_terminal_corrected,shadow_equity_terminal_corrected,open_shadow_equity_terminal_corrected,shadow_dd_terminal_corrected,damaged_terminal_corrected,green_terminal_corrected,r20_terminal_corrected,r40_terminal_corrected,stops20_terminal_corrected,stress_duration_terminal_corrected,nav_issuer_corrected,allocation_issuer_corrected,parent_allocation_issuer_corrected,shadow_equity_issuer_corrected,open_shadow_equity_issuer_corrected,shadow_dd_issuer_corrected,damaged_issuer_corrected,green_issuer_corrected,r20_issuer_corrected,r40_issuer_corrected,stops20_issuer_corrected,stress_duration_issuer_corrected,nav_delta,shadow_equity_delta,allocation_delta,parent_allocation_delta,damaged_delta,green_delta
2026-02-11,42.24296741249393,1.0,1.0,13544357539.181175,13532280066.166172,0.0,0.36,0.52,0.1201959351919226,0.2480188080839829,0,0,42.243359389809626,1.0,1.0,13544483218.82056,13532412378.425556,0.0,0.32,0.56,0.1202095364880042,0.2480303885929358,0,0,0.00039197731569373673,125679.63938522339,0.0,0.0,-0.03999999999999998,0.040000000000000036
2026-02-12,42.37357197599386,1.0,1.0,13586233264.601175,13786593251.99117,0.0,0.32,0.52,0.1244521661688795,0.249693368431052,0,0,42.37397293790577,1.0,1.0,13586361824.970562,13786717925.040556,0.0,0.28,0.56,0.1244649363742351,0.2497051937131544,0,0,0.0004009619119074159,128560.36938667297,0.0,0.0,-0.03999999999999998,0.040000000000000036
2026-02-13,42.82219415456888,1.0,1.0,13730074939.531174,13498550271.576174,0.0,0.32,0.64,0.1184260653567885,0.2686050707620659,0,0,42.82258930460822,1.0,1.0,13730201636.44056,13498674140.640558,0.0,0.28,0.68,0.1184392772256159,0.2686167770595482,0,0,0.0003951500393455376,126696.90938568115,0.0,0.0,-0.03999999999999998,0.040000000000000036
2026-02-17,42.8615340824036,1.0,1.0,13742688495.841171,13577741828.961174,0.0,0.36,0.64,0.1224071780653892,0.2753098488426009,0,0,42.86201696587586,1.0,1.0,13742843322.710558,13577877952.42056,0.0,0.32,0.68,0.1224226386681839,0.2753242166449019,0,0,0.00048288347225877715,154826.86938667297,0.0,0.0,-0.03999999999999998,0.040000000000000036
2026-02-18,43.11518204961406,1.0,1.0,13824015612.931175,13776460753.377174,0.0,0.28,0.6,0.1229506865610639,0.2617281138522849,0,0,43.11569329173469,1.0,1.0,13824179532.430565,13776609860.366558,0.0,0.24,0.64,0.1229655786019667,0.2617430749060463,0,0,0.0005112421206234785,163919.49938964844,0.0,0.0,-0.040000000000000036,0.040000000000000036
2026-02-19,43.57515882648449,1.0,1.0,13971497911.341171,13806822987.376177,0.0,0.24,0.68,0.1182759504468036,0.2455651716332749,0,0,43.57567730373868,1.0,1.0,13971664150.640558,13806983827.665562,0.0,0.2,0.72,0.1182920926139967,0.2455799919397865,0,0,0.00051847725418952,166239.29938697815,0.0,0.0,-0.03999999999999998,0.039999999999999925
2026-02-20,44.24325946116016,1.0,1.0,14185710937.141172,13940697719.426174,0.0,0.2,0.72,0.1398998476345769,0.2468369120322493,0,0,44.24365685746551,1.0,1.0,14185838354.270555,13940854768.65556,0.0,0.16,0.76,0.1399134640046926,0.246848111215769,0,0,0.00039739630535251536,127417.12938308716,0.0,0.0,-0.04000000000000001,0.040000000000000036
2026-02-23,44.36944057443931,1.0,1.0,14226168372.251171,14175190100.27617,0.0,0.28,0.68,0.1544282678419095,0.2508905867632514,0,0,44.369921334185605,1.0,1.0,14226322518.190556,14175309872.295555,0.0,0.24,0.72,0.154444807835298,0.2509059429052915,0,0,0.0004807597462956892,154145.93938446045,0.0,0.0,-0.040000000000000036,0.039999999999999925
2026-02-24,44.77119948054968,1.0,1.0,14354984281.791174,14358450275.401176,0.0,0.2,0.64,0.1542734211870533,0.2529595333216767,0,0,44.77173258014665,1.0,1.0,14355155209.45056,14358601358.77056,0.0,0.16,0.68,0.1542918462979561,0.2529760114010531,0,0,0.0005330995969643482,170927.65938568115,0.0,0.0,-0.04000000000000001,0.040000000000000036
2026-02-25,45.494707627380656,1.0,1.0,14586962611.521175,14490575278.921171,0.0,0.16,0.72,0.1486965815292031,0.2755451655763463,0,0,45.49526519007514,1.0,1.0,14587141382.78056,14490748840.130558,0.0,0.12,0.76,0.1487160440553365,0.2755631724148157,0,0,0.0005575626944818168,178771.25938415527,0.0,0.0,-0.04000000000000001,0.040000000000000036
2026-02-26,45.71541515405627,1.0,1.0,14657728039.141174,14652667253.681171,0.0,0.2,0.72,0.1344381522624946,0.2961778217934376,0,0,45.71599520788606,1.0,1.0,14657914021.73056,14652844758.080557,0.0,0.16,0.76,0.1344597443603183,0.2961985981519996,0,0,0.0005800538297933144,185982.58938598633,0.0,0.0,-0.04000000000000001,0.040000000000000036
