date,nav,allocation,persistent_bear,base_allocation,shadow_nav,r20,r40,positive_day_share20,damaged,green,holdings,fund_n,fund_health,fund_weak_share,fund_strong_share,fund_coverage,stress_duration,stress_episode_return,oracle20,oracle40,oracle60,regret100_20,regret100_40,regret100_60
1998-08-25,0.93126415126897,0.0,False,0.0,0.9729900211107366,-0.0232550380493899,,0.55,0.6190476190476191,0.3809523809523809,22,7,0.6360544217687075,0.2857142857142857,0.7142857142857143,0.3181818181818182,16,0.0427160110752031,0,0,0,0.1043256035954988,0.1752942798140797,0.0808301656801564
1998-08-26,0.93126415126897,0.0,False,0.0,0.9546125230807369,-0.024010916981595,,0.55,0.6190476190476191,0.1904761904761904,22,7,0.6360544217687075,0.2857142857142857,0.7142857142857143,0.3181818181818182,17,0.0230215527317267,0,0,0,0.1076785220771519,0.149806487565676,0.0588422509472036
1998-08-27,0.93126415126897,0.0,False,0.0,0.9065678689903364,-0.0966422321430917,,0.5,0.85,0.1,21,7,0.6360544217687075,0.2857142857142857,0.7142857142857143,0.3333333333333333,18,-0.0284660565753462,0,0,2,0.056012649072582,0.1083587683951433,0.0
1998-08-28,0.93126415126897,0.0,False,0.0,0.8813787861703366,-0.1042700741645834,,0.5,1.0,0.0,21,7,0.6360544217687075,0.2857142857142857,0.7142857142857143,0.3333333333333333,19,-0.055460228551262,0,0,2,0.0346471791127194,0.0702893045766022,0.0
1998-08-31,0.93126415126897,0.0,False,0.0,0.7974771930203365,-0.1776335512131613,-0.2025228069796635,0.5,1.0,0.0,21,7,0.6360544217687075,0.2857142857142857,0.7142857142857143,0.3333333333333333,20,-0.1453743413726369,2,2,2,0.0,0.0,0.0
1998-09-01,0.93126415126897,0.0,False,0.0,0.8261857377775824,-0.114608497300694,-0.1714314369924173,0.55,1.0,0.0,12,5,0.7142857142857143,0.2,0.8,0.4166666666666667,21,-0.114608497300694,2,0,2,0.0,0.0065034579346797,0.0
1998-09-02,0.93126415126897,0.0,False,0.0,0.8267632912862625,-0.1187675358766049,-0.177087342442993,0.55,0.9166666666666666,0.0833333333333333,13,5,0.7142857142857143,0.2,0.8,0.38461538461538464,22,-0.1139895554023322,0,2,2,0.030686910599753,0.0,0.0
1998-09-03,0.93126415126897,0.0,False,0.0,0.8275953228962624,-0.1333106505563854,-0.1743981021663645,0.55,0.9166666666666666,0.0833333333333333,13,5,0.7142857142857143,0.2,0.8,0.38461538461538464,23,-0.1130978991030443,0,2,2,0.027685170647475,0.0,0.0
1998-09-04,0.93126415126897,0.0,False,0.0,0.8233336920062624,-0.1515473614691996,-0.1772077731598971,0.5,0.9166666666666666,0.0833333333333333,13,5,0.7142857142857143,0.2,0.8,0.38461538461538464,24,-0.1176649251422455,0,2,2,0.0434955447638354,0.0,0.0
1998-09-08,0.93126415126897,0.0,False,0.0,0.8562534332104624,-0.1223111044779984,-0.1516382994575232,0.5,0.6923076923076923,0.2307692307692307,14,6,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.42857142857142855,25,-0.0823861036853862,0,0,2,0.0801493319674553,0.0168113116893564,0.0
1998-09-09,0.93126415126897,0.0,False,0.0,0.8469902526247464,-0.1118991058847401,-0.1721985641074093,0.5,0.7857142857142857,0.1428571428571428,14,6,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.42857142857142855,26,-0.0923130983108612,0,2,2,0.094813641064738,0.0,0.0
1998-09-10,0.93126415126897,0.0,False,0.0,0.8399125746247463,-0.1372356257787134,-0.1853456898397747,0.45,0.7142857142857143,0.2142857142857142,14,7,0.6938775510204082,0.2857142857142857,0.7142857142857143,0.5,27,-0.0998979738098,0,2,2,0.1013827676591094,0.0,0.0
1998-09-11,0.93126415126897,0.0,False,0.0,0.8494451880047463,-0.1159815005424023,-0.1864830682981362,0.5,0.7857142857142857,0.2142857142857142,14,8,0.7142857142857143,0.25,0.75,0.5714285714285714,28,-0.0896822384136972,0,2,2,0.0883734703684413,0.0,0.0
1998-09-14,0.93126415126897,0.0,False,0.0,0.8616651033347466,-0.099754912875482,-0.1799119071371538,0.55,0.6428571428571429,0.2142857142857142,14,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6428571428571429,29,-0.0765866247978158,0,0,2,0.0869076212621469,0.0029184849956205,0.0
1998-09-15,0.93126415126897,0.0,False,0.0,0.8616409433847465,-0.1109987877501559,-0.1890032131339628,0.5,0.6428571428571429,0.2857142857142857,14,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6428571428571429,30,-0.0766125160877009,0,2,2,0.0932788779674071,0.0,0.0
1998-09-16,0.93126415126897,0.0,False,0.0,0.8650971893754321,-0.1175172421757386,-0.1701142225128086,0.5,0.6666666666666666,0.2666666666666666,15,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6,31,-0.0729085900920485,0,0,2,0.0853949149550737,0.0026809540072829,0.0
1998-09-17,0.93126415126897,0.0,False,0.0,0.8498772505504324,-0.1341004513980577,-0.184092135212552,0.45,0.6666666666666666,0.2,15,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6,32,-0.0892192135887782,0,2,2,0.0455328814062689,0.0,0.0
1998-09-18,0.93126415126897,0.0,False,0.0,0.8483859219404324,-0.1346682227136939,-0.166635496085691,0.45,0.8,0.0666666666666666,15,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6,33,-0.0908174131444595,0,2,2,0.0476445581129842,0.0,0.0
1998-09-21,0.93126415126897,0.0,False,0.0,0.8463717448804323,-0.1217624824707599,-0.1688270232806705,0.45,0.8,0.0666666666666666,15,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6,34,-0.0929759292895736,0,2,2,0.0414151821997204,0.0,0.0
1998-09-22,0.93126415126897,0.0,False,0.0,0.8494480975704324,-0.1215763703448544,-0.1649109579184082,0.45,0.6666666666666666,0.2,15,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6,35,-0.0896791203439737,0,2,2,0.0563868266249041,0.0,0.0
1998-09-23,0.93126415126897,0.0,False,0.0,0.8723546044704322,-0.103429032628127,-0.1242788245883383,0.45,0.6,0.3333333333333333,15,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6,36,-0.0651310972561644,0,2,2,0.0801556706622032,0.0,0.0
1998-09-24,0.93126415126897,0.0,False,0.0,0.8526739313704323,-0.1067853073845366,-0.1282322112156674,0.45,0.6666666666666666,0.2666666666666666,15,9,0.7142857142857142,0.2222222222222222,0.7777777777777778,0.6,37,-0.0862221182377366,0,2,2,0.0481644340792997,0.0,0.0
1998-09-25,0.93126415126897,0.0,False,0.0,0.8566452463304325,-0.0550677167893715,-0.1463880818629147,0.5,0.6666666666666666,0.2666666666666666,15,10,0.7285714285714285,0.2,0.8,0.6666666666666666,38,-0.0819662126231164,0,2,2,0.0563966884745466,0.0,0.0
1998-09-28,0.93126415126897,0.0,False,0.0,0.8516931906904321,-0.0336808599726921,-0.1344390283699961,0.5,0.6,0.4,15,10,0.7285714285714285,0.2,0.8,0.6666666666666666,39,-0.0872731403320655,0,2,2,0.0378844246041484,0.0,0.0
1998-09-29,0.93126415126897,0.0,False,0.0,0.8477273146341575,0.0630113588872749,-0.1258151237718001,0.5,0.5625,0.375,16,10,0.7285714285714285,0.2,0.8,0.625,40,-0.0915232172825945,0,2,2,0.037944679032969,0.0,0.0
1998-09-30,0.93126415126897,0.0,False,0.0,0.8309935542841576,0.005819292547349,-0.1094561451275497,0.45,0.5625,0.3125,16,10,0.7285714285714285,0.2,0.8,0.625,41,-0.1094561451275497,0,2,2,0.0122514556773115,0.0,0.0
1998-10-01,0.93126415126897,0.0,False,0.0,0.8021946747541576,-0.0297166272269798,-0.1449547925132727,0.4,0.8125,0.125,16,10,0.7285714285714285,0.2,0.8,0.625,42,-0.1403187975036518,2,2,2,0.0,0.0,0.0
1998-10-02,0.93126415126897,0.0,False,0.0,0.805488693848676,-0.0267118825300047,-0.1564615546487294,0.4,0.6666666666666666,0.2666666666666666,16,9,0.73015873015873,0.2222222222222222,0.7777777777777778,0.5625,43,-0.1367887238378182,2,2,2,0.0,0.0,0.0
1998-10-05,0.93126415126897,0.0,False,0.0,0.7883106552052355,-0.0425380828466819,-0.1876389100985087,0.4,0.6666666666666666,0.2666666666666666,16,10,0.7142857142857142,0.2,0.7,0.625,44,-0.1551977676550781,2,2,2,0.0,0.0,0.0
1998-10-06,0.93126415126897,0.0,False,0.0,0.7884137062500539,-0.0792285605279832,-0.1918491322616019,0.4,0.5714285714285714,0.3571428571428571,15,9,0.6507936507936507,0.3333333333333333,0.5555555555555556,0.6,45,-0.1550873318108671,2,2,2,0.0,0.0,0.0
1998-10-07,0.93126415126897,0.0,False,0.0,0.7674514743013534,-0.0939075486133511,-0.1952984837724295,0.4,0.7142857142857143,0.2857142857142857,15,8,0.625,0.375,0.5,0.5333333333333333,46,-0.1775517501569361,2,2,2,0.0,0.0,0.0
