Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2010-07-29,BUY,CRUS,,184.54368868029078
2010-08-02,BUY,VRX1,,63.57010507413871
2010-08-06,BUY,AZO,,17.77559125733577
2010-08-10,SELL,SKX,,59.77555436374708
2010-08-11,SELL,CRI,,159.24187841306104
2010-09-07,SELL,EL,,43.7049760467665
2010-09-10,BUY,LTMAY,,125.95995325996786
2010-09-13,BUY,ISLN,,161.19309647080078
2010-10-12,BUY,BHC,,144.6139991092835
2010-10-22,SELL,CRUS,,184.54368868029078
2010-11-10,BUY,ENDPQ,,111.93950452220089
2010-11-23,BUY,LYB,,56.92446529850378
2010-12-15,SELL,TSN,,200.31516673827588
2010-12-16,SELL,VCI,,103.8921771104393
2011-01-18,BUY,ALXN,,54.23799944148023
2011-01-19,BUY,ATML,,323.57661349050426
2011-02-04,BUY,FOSL,,46.48413646624179
2011-03-03,SELL,LTMAY,,125.95995325996786
2011-03-18,SELL,ATML,,323.57661349050426
2011-04-04,BUY,SM,,65.91368513307448
2011-04-19,BUY,JAZZ,,61.66134449007891
2011-05-03,SELL,TIVO,,137.2001037722875
2011-06-03,BUY,GPRO1,,63.12862371036501
2011-07-28,SELL,APKT,,125.52709055407081
2011-08-08,SELL,HNT,,135.573201974327
2011-08-08,SELL,BHC,,144.6139991092835
2011-08-09,SELL,EW,,7.177469750220781
2011-08-09,SELL,GPRO1,,63.12862371036501
2011-08-09,SELL,LYB,,56.92446529850378
2011-08-09,SELL,FOSL,,46.48413646624179
2011-08-09,SELL,ADM,,89.5359305109445
2011-08-09,SELL,SMG,,94.34777620899452
2011-08-19,SELL,CTSH,,30.525568321827407
2011-08-22,SELL,ENDPQ,,111.93950452220089
2011-08-22,SELL,NFLX,,30.232486158891408
2011-08-23,SELL,STRZA,,53.56831535650209
2011-08-29,BUY,DPZ,,167.72673980035228
2011-09-08,BUY,QCOR,,154.46471405355436
2011-09-09,BUY,RGLD,,57.45180713702947
2011-09-12,BUY,GOLD1,,42.39529408267498
2011-09-13,BUY,VRUS1,,59.809090489104065
2011-09-14,BUY,MNST,,52.874956127038466
2011-09-15,BUY,PSMT,,64.54116027760665
2011-09-16,BUY,MCD,,53.63671479168744
2011-09-19,BUY,DMND,,55.18486978853229
2011-09-21,BUY,ELN,,475.60585444185
2011-09-22,BUY,CEPH,,5.240579086959918
2011-09-23,SELL,SM,,65.91368513307448
2011-09-26,BUY,CROX,,155.69506047711286
2011-09-29,SELL,DTGF,,80.62701176274021
2011-09-30,SELL,BIDU,,83.99316977537458
2011-09-30,BUY,CEG1,,113.96755049257666
2011-10-19,SELL,CROX,,155.69506047711286
2011-10-26,SELL,DMND,,55.18486978853229
2011-10-28,BUY,SUG,,108.7371457892556
2011-10-31,BUY,GR,,37.73340185245008
2011-11-01,BUY,VSEA,,73.30748913726362
2011-11-25,BUY,NLC,,123.25875788827635
2011-11-28,BUY,GNCIQ,,57.433670130113754
2011-12-16,BUY,TJX,,74.26278933056693
2011-12-27,BUY,MMI1,,3.7168310814552683
2012-02-01,BUY,DG,,115.23154122921784
2012-03-02,SELL,RGLD,,57.45180713702947
2012-03-02,BUY,PAA,,61.15242051621825
2012-03-08,SELL,PSMT,,64.54116027760665
2012-04-05,SELL,GOLD1,,42.39529408267498
2012-04-05,SELL,AU,,77.74411147642357
2012-04-11,BUY,PIRRQ,,284.3490462655918
2012-04-12,BUY,VAL1,,105.28132866887557
2012-04-26,BUY,AAPL,,8.547368814310403
2012-05-08,BUY,HD,,102.85799095521517
2012-05-09,BUY,EC,,17.308618923144635
2012-06-04,SELL,DPZ,,167.72673980035228
2012-06-06,BUY,SHW,,40.01828855127343
2012-07-26,SELL,QCOR,,154.46471405355436
2012-08-09,BUY,SBAC,,88.88156289176464
2012-08-10,BUY,PCYC,,92.89760087006049
2012-08-13,SELL,MNST,,105.74991225407693
2012-08-27,BUY,ELLI,,216.71608895023562
2012-09-10,BUY,DK,,28.647873828705883
2012-10-19,SELL,DLTR,,216.14855591021671
2012-10-22,BUY,ONIT,,149.62961018991084
2012-11-08,SELL,PCYC,,92.89760087006049
2012-11-09,SELL,ELN,,475.60585444185
2012-11-23,BUY,VMED,,153.7885445658505
2012-12-11,BUY,WHR,,51.72595637470759
2012-12-12,BUY,HOV,,422.7879665911326
2013-01-16,SELL,AAPL,,8.547368814310403
2013-02-01,SELL,ELLI,,216.71608895023562
2013-02-19,BUY,CVI,,98.8053576911326
2013-03-06,BUY,EV1,,83.7641469142908
2013-04-18,SELL,ONIT,,149.62961018991084
2013-04-19,SELL,HOV,,422.7879665911326
2013-05-14,SELL,EC,,17.308618923144635
2013-05-20,BUY,OHI,,165.77548138201712
2013-05-21,BUY,RDN,,165.46079970122838
2013-06-24,SELL,CVI,,98.8053576911326
2013-06-24,BUY,LGF.B,,204.4938144128537
2013-07-02,SELL,DK,,28.647873828705883
2013-07-24,BUY,NXST,,172.00617044568642
2013-07-25,BUY,CBOE,,47.54059756192045
2013-08-02,BUY,TW2,,1.9415854889620492
2013-11-07,SELL,OHI,,165.77548138201712
2013-11-08,SELL,RDN,,165.46079970122838
2013-12-10,BUY,OA,,56.59945631602122
2013-12-11,BUY,CTSH,,15.537177744086375
2014-03-12,SELL,NXST,,172.00617044568642
2014-03-27,SELL,LGF.B,,204.4938144128537
2014-04-08,SELL,PIRRQ,,284.3490462655918
2014-04-11,BUY,GLOG,,284.88969941630063
2014-04-29,BUY,HP,,65.53289433700058
2014-05-08,SELL,GNCIQ,,57.433670130113754
2014-05-09,BUY,TRGP,,51.73877078329856
2014-06-10,BUY,EXC,,8.742565332256936
2014-10-01,SELL,GLOG,,284.88969941630063
2014-10-14,SELL,HP,,65.53289433700058
2014-10-31,BUY,MDVN,,74.27644275241579
2014-11-06,SELL,OA,,56.59945631602122
2014-11-13,BUY,CNQR,,61.293770750039904
2014-11-28,SELL,EXC,,8.742565332256936
2014-12-02,SELL,TRGP,,51.73877078329856
2014-12-19,BUY,LOW,,120.55942833167344
2014-12-31,BUY,COST,,56.298565523370144
2015-01-30,BUY,BBWI,,2.874904986621385
2015-02-09,BUY,KR,,3.930281146063591
2015-06-24,SELL,COST,,56.298565523370144
2015-07-02,SELL,PAA,,122.3048410324365
2015-07-23,SELL,BBWI,,2.874904986621385
2015-07-27,BUY,ADPTQ,,77.94165293809588
2015-08-04,BUY,SKX,,37.05019508962134
2015-08-21,SELL,MDVN,,74.27644275241579
2015-08-24,BUY,TREE,,67.5564466431599
2015-09-23,BUY,PRE1,,1.741960257584477
2015-09-28,SELL,JAZZ,,61.66134449007891
2015-09-29,SELL,WHR,,51.72595637470759
2015-10-01,SELL,ADPTQ,,77.94165293809588
2015-10-26,SELL,SKX,,111.15058526886402
2015-10-28,BUY,UHAL,,20.257778147149057
2015-10-29,BUY,AIZ,,101.13041628655249
2015-11-02,BUY,ACGL,,110.75136080806178
2015-11-25,BUY,VRE,,50.44391131251553
2015-12-23,SELL,TREE,,67.5564466431599
2016-01-05,SELL,PRGO,,51.06937218321332
2016-01-07,SELL,EV1,,83.7641469142908
2016-01-12,SELL,MCK,,50.99689780970348
2016-01-20,SELL,AN,,156.12324340703555
2016-01-21,SELL,SBAC,,88.88156289176464
2016-01-27,BUY,SWI1,,127.42142002444146
2016-02-02,SELL,ALXN,,108.47599888296045
2016-02-05,BUY,TAL,,155.52709954951848
2016-02-22,BUY,HPY,,80.77115633147699
2016-02-23,BUY,EDU,,239.1048275135497
2016-02-24,BUY,HRL,,172.8323714702145
2016-02-25,BUY,COR2,,116.89064622861903
2016-02-26,BUY,EDR1,,191.1829618055118
2016-03-04,BUY,HMIN,,220.00550495987835
2016-04-04,BUY,BRKR,,92.66717730398835
2016-04-21,SELL,UHAL,,20.257778147149057
2016-04-22,SELL,AIZ,,101.13041628655249
2016-04-26,SELL,ACGL,,110.75136080806178
2016-05-09,BUY,CPB,,127.98040195915326
2016-05-17,BUY,AG,,709.5992231988649
2016-05-23,BUY,B,,451.5930895036907
2016-05-24,BUY,BKH,,137.2952520778028
2016-05-26,BUY,CDE,,876.8637622242665
2016-06-15,BUY,UGI,,4.6980263402550575
2016-08-15,SELL,HRL,,172.8323714702145
2016-08-31,SELL,AG,,709.5992231988649
2016-09-15,BUY,EXEL,,636.7516856434798
2016-09-22,SELL,BRKR,,92.66717730398835
2016-09-29,SELL,KR,,7.860562292127182
2016-10-03,SELL,CTSH,,31.07435548817275
2016-10-03,BUY,WB,,164.56482940957815
2016-10-05,SELL,B,,451.5930895036907
2016-10-05,SELL,CDE,,876.8637622242665
2016-10-06,SELL,DG,,115.23154122921784
2016-10-24,BUY,NTES,,30.478775192077773
2016-10-27,SELL,CPB,,127.98040195915326
2016-10-31,BUY,NVDA,,113.54126569867685
2016-11-01,SELL,EXEL,,636.7516856434798
2016-11-02,BUY,GEN,,314.05852422758767
2016-11-04,BUY,BRSL,,286.4057969397942
2016-11-07,BUY,CWEI,,76.27629219728732
2016-11-08,BUY,TTMI,,74.09346011790385
2016-11-11,SELL,BKH,,137.2952520778028
2016-11-29,BUY,DPZ,,46.70681384760605
2016-12-05,BUY,REN,,6.7021819469395725
2017-01-31,BUY,CFG,,6.456213744962816
2017-03-27,SELL,WB,,164.56482940957815
2017-04-18,SELL,NTES,,30.478775192077773
2017-05-01,SELL,BRSL,,286.4057969397942
2017-05-09,BUY,WNC,,429.74386542891835
2017-05-18,BUY,AAPL,,61.95781034273484
2017-06-01,BUY,HRC,,121.32162863012984
2017-06-15,BUY,RACE,,111.14246559680056
2017-06-16,SELL,REN,,6.7021819469395725
2017-06-29,SELL,AZO,,17.77559125733577
2017-07-06,SELL,ORLY,,101.96311725636374
2017-07-17,BUY,ISRG,,10.035744223236597
2017-07-19,BUY,SPGI,,64.43493409783191
2017-07-24,SELL,CFG,,6.456213744962816
2017-08-01,BUY,FIZZ,,93.04001899743214
2017-08-07,SELL,TTMI,,74.09346011790385
2017-08-07,BUY,WGHTQ,,211.80105345954934
2017-08-31,BUY,PRXL,,3.8669479808889986
2017-10-16,BUY,ABBV,,6.956788738568119
2017-11-21,BUY,IBKR,,4.807889543332081
2018-01-05,SELL,EDR1,,191.1829618055118
2018-01-16,SELL,VRE,,50.44391131251553
2018-02-07,BUY,EC,,448.30978397640627
2018-03-09,BUY,NKTR,,3.412658108622781
2018-03-20,SELL,FIZZ,,93.04001899743214
2018-04-10,SELL,ABBV,,6.956788738568119
2018-04-20,BUY,GMED,,182.4926689123116
2018-05-14,SELL,GEN,,314.05852422758767
2018-05-15,BUY,HLF,,123.95602258845271
2018-06-05,SELL,NKTR,,3.412658108622781
2018-06-14,BUY,ABMD,,1.1452952387971906
2018-07-31,SELL,TAL,,933.1625972971109
2018-08-01,BUY,TNDM,,437.38652060288524
2018-08-03,SELL,CBOE,,47.54059756192045
2018-08-13,SELL,WNC,,429.74386542891835
2018-08-16,SELL,WGHTQ,,211.80105345954934
2018-08-30,BUY,AMED,,103.70075159726869
2018-09-05,BUY,IIN,,168.75452083677035
2018-09-06,SELL,EDU,,239.1048275135497
2018-09-13,BUY,WWE,,147.47317330806916
2018-09-18,BUY,EPAY,,186.16645329659653
2018-09-28,SELL,IBKR,,4.807889543332081
2018-10-03,SELL,TNDM,,437.38652060288524
2018-10-08,BUY,WCG,,39.00040567721079
2018-10-10,SELL,GMED,,182.4926689123116
2018-10-11,SELL,IIN,,168.75452083677035
2018-10-25,SELL,NVDA,,113.54126569867685
2018-10-30,SELL,WWE,,147.47317330806916
2018-10-30,BUY,REGI,,371.2780164996411
2018-11-02,SELL,HLF,,123.95602258845271
2018-11-02,BUY,RGEN,,172.68129510472932
2018-11-09,BUY,TNDM,,294.46468592669294
2018-11-12,BUY,LLY,,99.23046639647724
2018-11-15,SELL,ABMD,,1.1452952387971906
2018-11-21,SELL,EPAY,,186.16645329659653
2018-11-21,SELL,EC,,448.30978397640627
2018-11-27,BUY,MKC,,72.59683918089678
2018-11-30,BUY,CABO,,12.296054629165562
2018-12-06,BUY,CHD,,161.98853238182068
2018-12-14,SELL,RACE,,111.14246559680056
2018-12-19,BUY,MZTI,,54.8607549665941
2018-12-20,SELL,AAPL,,61.95781034273484
2018-12-26,SELL,WCG,,39.00040567721079
2018-12-26,SELL,COR2,,116.89064622861903
2018-12-26,BUY,IDTI,,198.11801452455282
2018-12-27,BUY,ESL,,82.35350209427526
2019-01-17,BUY,TRCO,,229.40896884929768
2019-01-24,BUY,AU,,839.0529712075104
2019-01-29,BUY,EHTH,,80.24127379098988
2019-03-04,BUY,KL,,9.467979703044564
2019-04-03,SELL,REGI,,371.2780164996411
2019-04-29,BUY,SEE,,248.75069901744283
2019-05-06,BUY,ENPH,,851.0536344874527
2019-05-15,BUY,ZNGA,,887.6594839258078
2019-06-13,SELL,MZTI,,54.8607549665941
2019-07-16,BUY,ERIE,,33.77114739629104
2019-09-10,SELL,EHTH,,80.24127379098988
2019-09-10,SELL,ENPH,,851.0536344874527
2019-09-30,SELL,ERIE,,33.77114739629104
2019-10-10,BUY,HSY,,80.03677893728552
2019-10-11,BUY,AWR,,136.37105452176164
2019-10-17,SELL,SEE,,248.75069901744283
2019-10-30,BUY,AIZ,,101.10658583516029
2019-11-01,BUY,AQN,,932.9691966995942
2019-11-18,BUY,RH,,15.995746410021612
2020-02-05,SELL,UGI,,4.6980263402550575
2020-02-10,SELL,KL,,9.467979703044564
2020-03-06,SELL,RH,,15.995746410021612
2020-03-09,BUY,SEM,,201.93299381773198
2020-03-13,SELL,AU,,839.0529712075104
2020-03-13,SELL,TNDM,,294.46468592669294
2020-03-13,SELL,AIZ,,101.10658583516029
2020-03-16,BUY,GOTU,,341.19248197818337
2020-03-17,SELL,SHW,,40.01828855127343
2020-03-17,SELL,HD,,102.85799095521517
2020-03-17,SELL,AMED,,103.70075159726869
2020-03-17,SELL,LOW,,120.55942833167344
2020-03-17,SELL,TJX,,297.0511573222677
2020-03-17,SELL,ISRG,,30.107232669709788
2020-03-17,SELL,AQN,,932.9691966995942
2020-03-17,SELL,MKC,,72.59683918089678
2020-03-17,SELL,MCD,,53.63671479168744
2020-03-17,SELL,CABO,,12.296054629165562
2020-03-17,SELL,AWR,,136.37105452176164
2020-03-18,SELL,SEM,,201.93299381773198
2020-03-19,SELL,SPGI,,64.43493409783191
2020-03-23,SELL,HRC,,121.32162863012984
2020-03-24,SELL,HSY,,80.03677893728552
2020-04-07,BUY,REGN,,21.830248612828765
2020-04-15,BUY,TDOC,,68.99984138843193
2020-04-16,SELL,GOTU,,341.19248197818337
2020-04-16,BUY,FIT,,1646.9372041079998
2020-04-17,BUY,CCOI,,122.17007847319104
2020-04-20,BUY,ZM,,73.03907362158142
2020-04-21,BUY,CODX,,782.3432370230393
2020-04-22,BUY,AXSM,,165.46479784326593
2020-04-23,BUY,EVBG,,92.7751823852309
2020-04-24,BUY,EHTH,,91.92205981031998
2020-04-27,BUY,SE,,205.03109249814912
2020-04-28,BUY,DXCM,,34.25210127445416
2020-04-29,BUY,XLRN,,116.8530673963117
2020-04-30,BUY,QDEL,,81.23452003659209
2020-05-01,BUY,VXRT,,3881.7152883997705
2020-05-04,BUY,AUPH,,703.7209430512032
2020-05-05,BUY,BILI,,411.51580041096804
2020-05-06,BUY,MRNA,,234.8211203909449
2020-05-07,BUY,ARVN,,217.72173557352002
2020-05-08,BUY,LMNX1,,196.72677554140284
2020-05-28,SELL,MRNA,,234.8211203909449
2020-05-29,BUY,ZTO,,376.08103017015884
2020-06-01,SELL,ARVN,,217.72173557352002
2020-06-08,SELL,CODX,,782.3432370230393
2020-06-29,SELL,EHTH,,91.92205981031998
2020-06-29,BUY,NVAX,,166.68731511707588
2020-07-01,BUY,FVRR,,186.22164087830134
2020-07-09,BUY,DOCU,,6.182279221246808
2020-07-28,SELL,VXRT,,3881.7152883997705
2020-07-30,BUY,WKHS,,968.1080977612947
2020-08-13,SELL,NVAX,,166.68731511707588
2020-08-27,BUY,LVGO,,116.46568222141771
2020-08-28,SELL,QDEL,,81.23452003659209
2020-08-28,SELL,LMNX1,,196.72677554140284
2020-09-08,SELL,AXSM,,165.46479784326593
2020-09-15,BUY,APPS,,605.5105863678375
2020-09-21,SELL,CCOI,,122.17007847319104
2020-09-30,BUY,AGNT,,391.0877629110761
2020-10-01,BUY,RUN,,205.78675961281974
2020-10-08,BUY,SAIL1,,366.34320573213336
2020-10-21,SELL,WKHS,,968.1080977612947
2020-10-21,BUY,ALTO,,1620.9463671255303
2020-10-22,SELL,AUPH,,703.7209430512032
2020-10-27,SELL,AGNT,,391.0877629110761
2020-10-28,SELL,ALTO,,1620.9463671255303
2020-10-28,SELL,RUN,,205.78675961281974
2020-10-29,SELL,EVBG,,92.7751823852309
2020-11-02,SELL,APPS,,605.5105863678375
2020-11-03,SELL,DXCM,,34.25210127445416
2020-11-11,SELL,ZM,,73.03907362158142
2020-11-11,SELL,TDOC,,68.99984138843193
2020-11-20,BUY,NIO,,328.859156071065
2020-11-23,BUY,FDX,,57.68166884226622
2020-11-27,BUY,AGNT,,307.1526119506406
2020-11-30,BUY,PACB,,1026.5208758735307
2020-12-01,BUY,LOB,,391.6096969095068
2020-12-02,BUY,GNRC,,76.86949979953847
2020-12-03,BUY,FRHC,,407.16007861641054
2020-12-04,BUY,LPRO,,610.2845305003686
2020-12-14,BUY,PWR,,237.93204369188527
2020-12-15,SELL,ZTO,,376.08103017015884
2020-12-15,BUY,SWAV,,176.7807441784136
2021-01-29,BUY,SICPQ,,125.03980955616073
2021-02-23,SELL,REGN,,21.830248612828765
2021-02-24,BUY,DNMRQ,,234.9911689032528
2021-02-25,SELL,PACB,,1026.5208758735307
2021-03-02,BUY,VCEL,,482.75887502728176
2021-03-03,SELL,NIO,,328.859156071065
2021-03-04,SELL,AGNT,,614.3052239012812
2021-03-05,SELL,SICPQ,,125.03980955616073
2021-03-05,SELL,FVRR,,186.22164087830134
2021-03-08,SELL,SWAV,,176.7807441784136
2021-03-09,SELL,BILI,,411.51580041096804
2021-03-25,BUY,TPR,,508.5618774237705
2021-03-29,BUY,CTRN,,242.1901024085395
2021-03-31,SELL,DNMRQ,,234.9911689032528
2021-04-05,BUY,DEN,,413.43348557847867
2021-04-06,BUY,SM,,1208.6045867972953
2021-04-07,BUY,TPL,,13.370627439213266
2021-04-08,BUY,SICPQ,,150.1160224360569
2021-04-09,BUY,DBRG,,3180.7249347471484
2021-04-12,BUY,DAC,,382.07681055645776
2021-04-26,SELL,SICPQ,,150.1160224360569
2021-05-03,BUY,ATKR,,269.99704523005886
2021-05-11,SELL,SAIL1,,366.34320573213336
2021-05-13,SELL,DOCU,,6.182279221246808
2021-05-26,BUY,CHRD,,248.79909694969456
2021-06-11,BUY,NUE,,85.96933519411579
2021-07-12,BUY,SC,,27.81996609893576
2021-07-20,SELL,SM,,1208.6045867972953
2021-08-09,SELL,ZNGA,,887.6594839258078
2021-08-11,SELL,VCEL,,482.75887502728176
2021-08-13,SELL,CTRN,,242.1901024085395
2021-08-19,BUY,LSI,,188.98404185386173
2021-09-08,SELL,TPL,,13.370627439213266
2021-09-09,BUY,EPAM,,37.98400504401657
2021-09-13,BUY,DXLG,,3379.3844814454174
2021-09-15,BUY,WST,,36.53959683051651
2021-09-29,SELL,DBRG,,3180.7249347471484
2021-10-01,SELL,FDX,,57.68166884226622
2021-10-08,BUY,PRFT,,186.9411544417916
2021-10-29,BUY,ASAN,,72.12052550323642
2021-11-11,SELL,LPRO,,610.2845305003686
2021-11-12,BUY,VICR,,102.88964491314245
2021-12-01,SELL,NUE,,85.96933519411579
2021-12-02,SELL,ASAN,,72.12052550323642
2021-12-06,SELL,SE,,205.03109249814912
2021-12-13,SELL,GNRC,,76.86949979953847
2021-12-14,BUY,FDS,,49.84285928487595
2021-12-17,SELL,DXLG,,3379.3844814454174
2022-01-03,BUY,COST,,42.00000333654526
2022-01-04,BUY,BLDR,,279.0324357467152
2022-01-06,SELL,RGEN,,172.68129510472932
2022-01-06,BUY,WIRE,,166.31937100895533
2022-01-07,BUY,ACLS,,315.3804870984229
2022-01-11,SELL,VICR,,102.88964491314245
2022-01-13,BUY,ON,,330.38194995002885
2022-01-18,SELL,PRFT,,186.9411544417916
2022-01-20,SELL,EPAM,,37.98400504401657
