date,0bp_control_allocation,10bp_control_allocation,0bp_control_reason,10bp_control_reason,0bp_wc_dd,10bp_wc_dd,0bp_control_nav,10bp_control_nav
2018-05-18,0.0,1.0,FULL_RISK_CERTIFIED_PERSISTENCE,NORMAL,-0.01767716485016957,-0.015748920676669886,5.346261119372338,5.9496228078594235
2018-10-12,1.0,0.0,NORMAL,NORMAL,-0.11507097251825149,-0.13571972083928407,5.019886339089744,5.385055362282113
2018-10-15,1.0,0.0,NORMAL,NORMAL,-0.12302854751744574,-0.14688869127526172,4.974745858000078,5.385632105921641
2018-10-16,1.0,0.0,NORMAL,NORMAL,-0.10232566347747474,-0.126787702958032,5.092185925558662,5.386208849561171
2018-10-17,1.0,0.0,NORMAL,NORMAL,-0.1071620769673618,-0.13227705232377462,5.064750679054023,5.38620884956117
2018-10-18,1.0,0.0,NORMAL,NORMAL,-0.11795753144165289,-0.14481549640359637,5.003511921191176,5.386208849561169
2018-10-19,1.0,0.0,NORMAL,NORMAL,-0.12242395171086429,-0.15397384188169305,4.978175514092122,5.386785593200697
2018-10-22,1.0,0.0,NORMAL,NORMAL,-0.11742411645978179,-0.14994157239650785,5.006537793885374,5.3880111734346965
2018-10-23,1.0,0.0,NORMAL,NORMAL,-0.12487766062747074,-0.15748349801125816,4.964256499698812,5.3880111734346965
2018-10-24,1.0,0.0,NORMAL,NORMAL,-0.15044393039545279,-0.18395512144576565,4.819228181761278,5.388587917074226
2018-10-25,1.0,0.0,NORMAL,NORMAL,-0.1464039143269823,-0.1828895575026105,4.842145750110832,5.389164660713755
2018-10-26,1.0,0.0,NORMAL,NORMAL,-0.15939526783003388,-0.1980852685782909,4.76845044127704,5.389741404353283
2018-10-29,1.0,0.0,NORMAL,NORMAL,-0.16231971142377688,-0.20278484833098975,4.751861117173338,5.389741404353283
2018-10-30,1.0,0.0,NORMAL,NORMAL,-0.14454286751638556,-0.1846043187878308,4.852702804033569,5.389741404353283
2018-10-31,1.0,0.0,NORMAL,NORMAL,-0.141881351770613,-0.17817216380976564,4.867800632354894,5.390318147992812
2018-11-01,1.0,0.0,NORMAL,NORMAL,-0.13523441576657713,-0.17112178615916562,4.9055063264922145,5.391543728226809
2018-11-02,1.0,0.0,NORMAL,NORMAL,-0.13852960745070075,-0.17183647557785675,4.886813880876676,5.391543728226807
2018-11-05,1.0,0.0,NORMAL,NORMAL,-0.140844072555663,-0.1723951027943854,4.873684746898822,5.392120471866336
2018-11-06,1.0,0.0,NORMAL,NORMAL,-0.13405651030247767,-0.16946353175191586,4.912188163525856,5.392120471866336
2018-11-07,1.0,0.0,NORMAL,NORMAL,-0.11665626946126206,-0.15297880547991627,5.010893515687549,5.392697215505866
2018-11-08,1.0,0.0,NORMAL,NORMAL,-0.11845040862030198,-0.15562461768540925,5.00071600497743,5.393273959145394
2018-11-09,1.0,0.0,NORMAL,NORMAL,-0.13750059215301824,-0.17246711414348803,4.89265111716923,5.394499539379393
2018-11-12,1.0,0.0,NORMAL,NORMAL,-0.15427556533492193,-0.19357509754145152,4.797492685137604,5.393922795739864
2018-11-13,1.0,0.0,NORMAL,NORMAL,-0.15518491507738286,-0.19680892231902314,4.792334268803782,5.3944995393793915
2018-11-14,1.0,0.0,NORMAL,NORMAL,-0.15774629234475568,-0.20098433086461165,4.777804490308065,5.393922795739862
2018-11-15,1.0,0.0,NORMAL,NORMAL,-0.1512782394594493,-0.1955567940524603,4.814495444397182,5.395653026658451
2018-11-16,1.0,0.0,NORMAL,NORMAL,-0.1479870675506263,-0.19063719068642737,4.833165087263019,5.396229770297979
2018-11-19,1.0,0.0,NORMAL,NORMAL,-0.1681165635753452,-0.21003555743571145,4.718977645141474,5.395653026658448
2018-11-20,1.0,0.0,NORMAL,NORMAL,-0.18140584706744423,-0.2243070896100473,4.6435922858792535,5.396806513937504
2018-11-21,1.0,0.0,NORMAL,NORMAL,-0.17549141004675295,-0.21810998763283596,4.677142774880686,5.398032094171504
2018-11-23,1.0,0.0,NORMAL,NORMAL,-0.17550141065848912,-0.21820796427309264,4.677086044981815,5.398032094171504
2018-11-26,1.0,0.0,NORMAL,NORMAL,-0.16855563284492403,-0.21221048040675095,4.716486961979519,5.398608837811033
2018-11-27,1.0,0.0,NORMAL,NORMAL,-0.1650253734876217,-0.2103637311315445,4.736512862555519,5.398608837811033
2018-11-28,1.0,0.0,NORMAL,NORMAL,-0.1483639719587645,-0.19098274511750746,4.831027043159143,5.399185581450562
2018-11-29,1.0,0.0,NORMAL,NORMAL,-0.14833658793074567,-0.19001987071246518,4.831182382970463,5.399762325090092
2018-11-30,1.0,0.0,NORMAL,NORMAL,-0.1415399856834083,-0.18411009000563616,4.869737080255877,5.400339068729619
2018-12-03,1.0,0.0,NORMAL,NORMAL,-0.13717324798235608,-0.18002570886081593,4.894508023745301,5.400194882819736
2018-12-04,1.0,0.0,NORMAL,NORMAL,-0.1577028567172155,-0.19949304872115226,4.778050885110978,5.400771626459265
2018-12-06,1.0,0.0,NORMAL,NORMAL,-0.15794540096538245,-0.20085326689438143,4.77667501821071,5.401997206693263
2018-12-07,1.0,0.0,NORMAL,NORMAL,-0.17433799193348298,-0.21711073012553628,4.683685703918213,5.402573950332791
2018-12-10,1.0,0.0,NORMAL,NORMAL,-0.17239960865693027,-0.216292858093463,4.694681459993225,5.40315069397232
2018-12-11,1.0,0.0,NORMAL,NORMAL,-0.17105987964704517,-0.21430852184892402,4.702281264210228,5.4025739503327905
2018-12-12,1.0,0.0,NORMAL,NORMAL,-0.16496886000128652,-0.20927012467027728,4.736833443380892,5.403727437611848
2018-12-13,1.0,0.0,NORMAL,NORMAL,-0.1679901918746155,-0.2128578871970791,4.719694506668713,5.404376274206318
2018-12-14,1.0,0.0,NORMAL,NORMAL,-0.1801633669768521,-0.225502209217729,4.650640431707514,5.4049530178458465
2018-12-17,1.0,0.0,NORMAL,NORMAL,-0.197089225859004,-0.24207283114441358,4.554626078984038,5.405529761485378
2018-12-18,1.0,0.0,NORMAL,NORMAL,-0.1952592903926611,-0.24010123262676064,4.565006649361587,5.405529761485378
2018-12-19,1.0,0.0,RECOVERY_EPISODE_START,NORMAL,-0.20535729514521384,-0.2474211491311803,4.507724274690644,5.404953017845848
2020-02-28,0.0,1.0,NORMAL,RECOVERY_EPISODE_START,-0.11884429793511997,-0.11464141104761238,5.058179078509931,6.3512800823321065
2020-04-17,0.0,0.55,NORMAL,NORMAL,-0.24605767382178978,-0.22465816996024335,5.067537167824325,6.405731071082294
2020-04-20,0.0,0.55,FULL_RISK_CERTIFIED_SPY_V_REBOUND,NORMAL,-0.24376272309556846,-0.22286610166767074,5.066944049487494,6.413536841774734
2020-04-21,1.0,0.55,NORMAL,NORMAL,-0.25260667214142674,-0.23209575507984126,5.00545325118532,6.371643035215096
2020-04-22,1.0,0.55,NORMAL,NORMAL,-0.23890639487899024,-0.21897198189268785,5.097206943397005,6.431534615730841
2020-04-23,1.0,0.55,NORMAL,NORMAL,-0.23652894424856685,-0.21312499985831412,5.1131292396552315,6.458354891104531
2020-04-24,1.0,0.55,NORMAL,NORMAL,-0.23600921339773429,-0.21157360326282193,5.116609988519413,6.4650180176553755
2020-04-27,1.0,0.55,NORMAL,NORMAL,-0.22818695303112357,-0.20405775973187434,5.1689973421714095,6.498914060742716
2020-04-28,1.0,0.55,NORMAL,NORMAL,-0.2428912456397213,-0.21919554961535948,5.070519544068812,6.430933553113085
2020-04-29,1.0,0.55,NORMAL,NORMAL,-0.2424536230808202,-0.2204458624240122,5.073450396109624,6.424968572433205
2020-04-30,1.0,0.55,NORMAL,NORMAL,-0.25452910879848667,-0.2325413102456283,4.992578280996799,6.3707790309726615
2020-05-01,1.0,0.65,NORMAL,NORMAL,-0.25994711840702023,-0.2356341337363118,4.95629270980005,6.356961072424134
2020-05-04,1.0,0.65,NORMAL,NORMAL,-0.2455467298072186,-0.22256838874054186,5.052735197642073,6.427592145043996
2020-05-05,1.0,0.65,NORMAL,NORMAL,-0.23612281714009753,-0.21217062671943754,5.11584915991637,6.483469951067346
2020-05-06,1.0,0.65,NORMAL,NORMAL,-0.21854678427184104,-0.1944651159965447,5.23355961782937,6.57841636161442
2020-05-07,1.0,0.65,NORMAL,NORMAL,-0.2092560067346848,-0.1857831502249937,5.295781945613113,6.62426274221522
2020-05-08,1.0,0.65,NORMAL,NORMAL,-0.20393839021791227,-0.1804801717774498,5.33139516276438,6.652306143264525
2020-05-11,1.0,0.65,NORMAL,NORMAL,-0.16755599937956445,-0.14319570281035943,5.575055829403571,6.849270937161551
